round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Empoli,Hellas Verona,0,1,0.7,0.51,47,53,10,10,4,4,5,5,1,1,2,4,2,3,17,18,2,2,0,0,18,17,37,24,7,8,1,1,1,1,0,1,0,1,4,6,6,4,3,4,314,351,200,249,17,40,0,3,4,4,160,151,45,70,11,31,12,20,5,11,11,20
1,Frosinone,Napoli,1,3,0.89,1.5,48,52,4,19,1,8,2,4,1,7,4,6,3,3,14,17,3,3,0,0,17,13,15,11,7,3,1,1,,,0,2,0,2,3,13,1,6,5,0,440,473,386,420,15,24,2,4,5,5,101,92,32,47,4,9,6,20,2,3,17,7
1,Genoa,Fiorentina,1,4,0.21,0.99,32,68,4,9,2,5,2,2,0,2,3,4,2,1,14,13,2,3,0,0,10,11,20,22,5,4,2,2,1,0,1,0,1,0,4,5,0,4,1,1,291,656,218,575,19,55,5,1,9,10,109,123,43,44,11,12,14,11,9,7,13,14
1,Inter,Monza,2,0,2.69,0.78,48,52,22,12,3,2,12,6,7,4,8,3,1,1,8,13,1,1,0,0,13,8,9,15,8,17,2,2,0,2,4,1,3,1,14,7,8,5,2,1,474,528,426,477,37,28,11,7,6,6,79,86,45,33,9,6,17,13,9,13,12,10
1,Roma,Salernitana,2,2,1.9,0.14,60,40,13,3,3,2,7,1,3,0,9,1,1,1,12,9,0,4,0,0,9,11,28,17,3,13,3,1,1,0,,,,,9,2,4,1,0,1,475,332,389,241,23,12,10,0,8,3,138,127,54,35,22,13,15,9,9,10,5,18
1,Sassuolo,Atalanta,0,2,0.44,1.32,50,50,11,16,3,6,4,8,4,2,7,7,0,2,9,13,,,0,0,13,9,12,17,16,2,0,3,0,2,1,1,1,1,4,10,7,6,2,3,491,480,427,413,18,29,3,8,14,13,104,110,46,43,9,8,10,13,12,9,17,9
1,Lecce,Lazio,2,1,1.47,1.61,48,52,23,10,7,4,8,3,8,3,5,2,2,1,12,16,3,2,0,0,16,12,19,12,9,9,2,4,2,3,,,,,13,6,10,4,3,5,458,516,392,441,21,16,4,2,17,5,121,108,49,46,9,8,8,21,8,10,12,20
1,Udinese,Juventus,0,3,1,1.85,48,52,18,9,5,4,6,3,7,2,7,3,3,4,12,10,1,3,0,0,10,9,17,9,6,14,2,2,2,0,1,1,1,1,6,6,12,3,1,5,429,476,378,392,22,17,6,5,7,9,111,115,35,48,7,11,11,21,7,5,10,19
1,Torino,Cagliari,0,0,0.96,0.39,57,43,11,8,2,2,6,5,3,1,8,3,1,2,8,12,1,1,0,0,11,8,22,17,11,10,1,0,1,0,1,0,1,0,7,4,4,4,2,2,447,338,354,243,34,27,3,1,11,8,153,144,53,54,21,20,10,18,8,10,14,14
