number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
169,Parma,Lazio,0,2,47,53,10,21,3,5,2,10,5,6,5,6,0,5,11,7,4,1,0,0,7,11,,,12,4,0,4,0,2,,,,,,,3,18,7,3,3,3,466,522,386,443,38,19,1,8,19,10,,,49,57,16,12,7,25,17,15,,
166,Milan,Torino,2,0,47,53,8,9,4,1,2,4,2,4,7,5,1,1,22,15,6,2,0,0,13,20,,,3,5,3,0,1,0,0,1,1,0,,,3,5,5,4,2,2,403,464,336,392,22,33,0,3,10,8,,,52,60,9,14,20,18,3,3,,
176,Torino,Spezia,0,0,67,33,10,6,1,3,6,2,3,1,6,2,6,0,12,14,3,4,0,1,14,12,,,3,6,,,,,1,0,,,,,10,5,0,1,3,1,611,307,538,229,45,31,8,1,14,4,,,54,50,15,12,11,23,11,7,,
167,Roma,Inter,2,2,50,50,14,17,8,6,2,7,4,4,3,7,1,2,18,11,3,3,0,0,9,18,,,8,4,0,2,0,2,,,0,1,,,8,16,6,1,4,6,544,526,482,448,16,14,5,9,6,10,,,32,56,7,10,10,19,16,6,,
178,Napoli,Fiorentina,6,0,49,51,10,11,7,2,3,6,0,3,1,4,4,3,11,15,1,0,0,0,15,10,,,7,3,3,2,0,2,0,1,1,0,,,6,8,4,3,1,1,481,495,419,425,26,26,0,4,11,11,,,45,36,4,11,15,4,14,7,,
188,Fiorentina,Crotone,2,1,46,54,13,10,6,3,5,2,2,5,5,3,3,2,12,17,2,2,0,0,17,10,,,5,6,1,1,,,,,2,0,,,6,6,7,4,2,4,375,457,315,372,31,21,6,4,9,9,,,59,37,17,7,16,11,14,8,,
181,Atalanta,Genoa,0,0,64,36,18,7,2,3,10,2,6,2,9,1,,,14,13,1,2,0,0,13,12,,,3,13,2,2,2,2,1,0,,,,,15,5,3,2,3,3,675,390,549,273,32,32,7,1,13,12,,,70,63,35,14,9,25,13,13,,
161,Torino,Hellas Verona,1,1,45,55,17,8,2,2,5,4,10,2,9,3,1,2,12,18,1,3,0,0,18,10,,,7,6,1,0,,,,,,,,,11,5,6,3,1,1,369,453,266,346,29,22,5,1,10,5,,,53,49,15,27,10,7,15,11,,
171,Fiorentina,Cagliari,1,0,52,48,14,9,4,2,7,4,3,3,9,5,4,1,15,14,1,3,0,0,13,15,,,9,11,4,2,3,2,,,2,0,,,8,5,6,4,2,3,433,419,358,335,29,22,6,4,10,13,,,60,61,14,18,24,15,12,11,,
180,Sassuolo,Parma,1,1,61,39,16,11,4,2,9,6,3,3,5,2,3,3,18,11,3,2,0,0,11,16,,,7,9,2,0,1,0,1,0,,,,,11,6,5,5,1,3,524,324,463,251,18,40,4,8,13,8,,,51,61,18,20,9,18,7,23,,
