number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
8,1X,12,5,2,59,41,10,25,7,8,1,12,2,5,4,7,1,0,0,0,3,3,1,0,16,15,,,12,2,,,,,,,,,,,6,14,4,11,6,2,534,338,462,274,,,,,,,,,47,43,6,9,,,,,,
30,1X,12,1,2,41,59,7,12,2,6,4,4,1,2,2,5,6,2,0,0,6,3,1,0,13,26,,,6,8,,,,,,,,,,,5,4,2,8,4,1,344,481,253,401,,,,,,,,,61,65,12,13,,,,,,
7,1X,12,1,0,44,56,19,11,6,3,5,6,8,2,5,6,2,5,0,0,1,1,0,0,13,10,,,10,8,,,,,2,0,,,,,12,5,7,6,3,5,371,480,295,395,,,,,,,,,51,51,11,13,,,,,,
46,1X,12,2,0,57,43,10,10,3,3,5,6,2,1,10,3,2,2,0,0,4,4,0,2,10,18,,,5,7,,,,,0,1,,,,,4,2,6,8,3,1,459,350,392,268,,,,,,,,,58,64,19,11,,,,,,
1,1X,12,2,1,56,44,21,9,9,4,7,3,5,2,10,3,2,4,0,0,2,1,0,0,7,17,,,4,9,,,,,,,,,,,9,5,12,4,3,8,548,427,475,320,,,,,,,,,54,57,18,12,,,,,,
24,1X,12,2,2,41,59,16,17,2,4,8,7,6,6,5,5,3,4,0,0,2,4,0,0,14,11,,,11,8,,,,,,,,,,,5,5,11,12,2,0,423,610,337,524,,,,,,,,,47,47,4,11,,,,,,
32,1X,12,0,1,45,55,15,14,2,3,9,7,4,4,8,8,3,0,0,0,3,1,0,0,13,16,,,10,8,,,,,,,0,1,,,11,7,4,7,2,2,342,428,265,349,,,,,,,,,60,73,17,30,,,,,,
6,1X,12,1,0,68,32,21,5,7,0,10,3,4,2,9,1,4,0,0,0,2,4,0,1,12,14,,,6,16,,,,,1,0,,,,,6,5,15,0,0,6,596,282,528,189,,,,,,,,,60,68,20,19,,,,,,
10,1X,12,0,1,45,55,6,9,2,2,1,5,3,2,10,5,5,1,0,0,3,1,0,0,13,15,,,8,4,,,,,,,0,1,,,0,4,6,5,1,2,380,467,292,394,,,,,,,,,67,53,15,17,,,,,,
50,1X,12,5,1,68,32,17,13,10,6,6,3,1,4,6,6,1,3,0,0,1,1,0,0,14,13,,,4,6,,,,,1,0,,,,,12,11,5,2,5,5,675,308,593,229,,,,,,,,,49,47,7,7,,,,,,
