number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
14,Fiorentina,Torino,2,1,58,42,9,5,6,1,2,2,1,2,3,3,3,2,13,28,4,5,0,0,26,12,,,4,6,,,,,,,3,0,,,6,5,3,0,0,4,416,306,338,220,50,21,4,4,2,6,,,63,44,23,16,12,10,6,13,,
15,Juventus,Empoli,0,1,55,45,18,11,5,3,9,3,4,5,8,9,1,3,10,6,2,3,0,0,6,10,,,7,17,1,1,1,0,,,1,0,,,10,8,8,3,3,5,412,342,346,259,47,27,6,4,11,7,,,49,46,18,12,14,17,11,5,,
2,Empoli,Lazio,1,3,45,55,16,8,4,4,7,3,5,1,5,3,2,0,13,10,2,1,0,0,8,13,,,4,9,1,2,1,0,2,0,1,0,,,11,8,5,0,1,2,451,567,372,491,29,42,4,4,5,8,,,42,54,6,7,23,26,12,15,,
28,Roma,Sassuolo,2,1,49,51,17,14,6,7,9,6,2,1,4,6,1,6,7,11,2,1,0,0,11,5,,,6,16,3,4,2,3,1,1,0,1,,,13,9,4,5,6,5,445,458,386,403,24,28,5,2,8,7,,,32,24,5,3,8,9,3,12,,
6,Napoli,Venezia,2,0,56,44,13,8,4,4,4,4,5,0,2,2,3,1,5,22,1,7,1,0,20,3,,,8,7,3,1,2,1,0,1,,,,,6,5,7,3,4,2,560,424,499,379,21,20,1,4,6,5,,,44,23,6,5,13,10,12,10,,
24,Cagliari,Genoa,2,3,52,48,9,11,3,3,4,4,2,4,2,6,1,2,15,15,2,3,0,0,14,14,,,5,7,2,3,1,1,,,1,1,,,6,5,3,6,0,1,490,439,400,369,21,28,4,6,3,6,,,49,45,12,10,20,15,4,6,,
10,Udinese,Venezia,3,0,44,56,21,11,10,3,2,6,9,2,7,2,4,2,11,8,2,3,0,0,6,9,,,12,6,6,3,3,3,,,2,0,,,14,8,7,3,3,7,426,529,336,447,22,36,7,4,13,7,,,41,45,7,12,15,17,13,9,,
8,Cagliari,Spezia,2,2,59,41,20,12,9,4,6,5,5,3,11,4,1,4,17,15,2,3,0,0,13,15,,,8,13,5,1,4,0,,,,,,,16,3,4,9,2,6,476,338,380,259,29,18,7,2,14,11,,,56,60,17,21,12,15,11,10,,
47,Sampdoria,Napoli,0,4,48,52,13,17,5,9,3,4,5,4,5,5,2,1,10,7,2,1,0,0,6,9,,,7,4,0,4,0,2,,,0,1,,,5,8,8,9,5,5,456,514,387,455,28,37,2,3,9,6,,,33,34,5,6,13,14,9,11,,
3,Torino,Atalanta,1,2,48,52,21,7,8,2,5,1,8,4,5,1,,,17,13,2,2,0,0,13,17,,,1,9,1,1,1,0,1,0,,,,,10,5,11,2,0,6,380,418,279,298,23,30,5,2,12,9,,,62,86,23,43,14,17,13,8,,
16,Genoa,Napoli,1,2,39,61,6,13,3,8,2,3,1,2,4,5,3,2,17,15,2,3,0,0,15,17,,,4,6,1,2,1,2,0,1,,,,,4,8,2,5,6,2,358,581,280,498,21,31,4,2,13,14,,,56,64,10,11,18,23,19,13,,
13,Lazio,Spezia,6,1,61,39,18,5,10,2,3,2,5,1,4,2,1,0,12,9,0,2,0,1,9,12,,,6,5,4,1,1,0,,,,,,,11,2,7,3,1,4,695,429,632,350,20,21,3,0,8,9,,,36,28,8,2,12,5,7,6,,
40,Bologna,Genoa,2,2,60,40,17,11,6,6,5,4,6,1,7,2,0,2,14,15,3,4,0,0,15,14,,,8,7,3,3,2,1,1,0,,,,,15,7,2,4,4,3,535,350,445,267,23,17,4,4,13,4,,,61,39,19,7,14,14,5,7,,
23,Sampdoria,Inter,2,2,52,48,14,8,3,3,6,4,5,1,4,4,2,1,12,13,4,4,0,0,13,12,,,7,8,2,1,1,0,,,0,2,,,10,5,4,3,1,0,398,386,330,300,22,28,6,2,5,5,,,40,39,11,13,12,9,11,10,,
30,Sassuolo,Torino,0,1,53,47,10,18,2,6,4,11,4,1,6,3,1,4,7,19,0,4,0,0,19,7,,,13,7,1,5,1,5,1,2,,,,,5,12,5,6,3,2,453,402,355,326,36,19,3,3,10,6,,,52,37,15,12,8,12,10,11,,
20,Empoli,Venezia,1,2,68,32,22,10,6,3,8,6,8,1,8,2,3,1,12,21,2,5,0,0,21,11,,,6,10,2,4,1,3,,,0,3,,,12,9,10,1,1,5,532,256,449,185,33,26,7,3,13,5,,,61,55,11,20,16,19,9,7,,
50,Spezia,Milan,1,2,37,63,8,18,2,5,3,11,3,2,2,4,3,3,12,12,2,2,0,0,12,12,,,9,6,1,2,1,0,0,1,0,1,,,5,12,3,6,3,1,285,505,216,422,24,25,4,7,6,12,,,41,54,11,10,12,20,9,4,,
5,Udinese,Juventus,2,2,44,56,12,10,6,3,4,7,2,0,3,3,2,3,13,14,1,3,0,0,14,13,,,6,5,3,3,1,2,0,2,,,,,9,7,3,3,1,4,396,524,334,452,16,35,3,3,5,6,,,39,39,9,9,11,12,8,13,,
34,Empoli,Sampdoria,0,3,54,46,15,14,4,7,5,5,6,2,8,8,7,4,10,10,2,2,0,0,10,9,,,5,11,1,1,1,0,0,1,0,1,,,8,10,7,4,4,4,398,360,312,267,25,40,5,3,5,11,,,33,49,8,11,10,18,9,11,,
1,Inter,Genoa,4,0,60,40,16,10,8,4,5,4,3,2,8,2,2,2,18,7,1,2,0,0,6,18,,,7,9,4,1,1,1,1,0,1,1,,,12,5,4,5,4,4,592,399,539,348,39,20,8,1,8,10,,,40,49,8,8,18,13,5,15,,
21,Napoli,Juventus,2,1,67,33,25,8,6,4,9,4,10,0,13,1,1,3,14,16,2,1,0,0,15,14,,,7,11,2,3,0,2,,,2,0,,,15,6,10,2,3,5,627,312,572,254,29,23,7,1,7,14,,,52,48,12,9,18,11,3,4,,
9,Sampdoria,Milan,0,1,50,50,16,11,3,4,7,5,6,2,8,3,3,3,17,15,3,1,0,0,14,16,,,9,8,1,2,1,1,1,0,,,,,10,5,6,6,3,3,395,409,309,327,23,24,6,2,4,6,,,54,54,19,17,18,16,7,9,,
41,Atalanta,Sassuolo,2,1,48,52,14,8,5,1,8,4,1,3,5,5,2,0,16,16,2,2,0,0,15,16,,,7,11,4,2,3,2,,,,,,,8,6,6,2,0,3,451,498,369,400,29,35,7,2,8,12,,,55,59,11,10,21,21,9,8,,
25,Spezia,Udinese,0,1,56,44,19,9,6,4,7,4,6,1,4,5,1,2,12,14,1,2,0,0,12,12,,,6,11,,,,,,,1,1,,,7,5,12,4,3,5,461,369,394,310,32,26,5,2,15,7,,,62,39,12,6,24,14,3,10,,
22,Atalanta,Fiorentina,1,2,55,45,13,7,5,2,7,2,1,3,10,3,2,1,13,19,4,4,0,0,18,12,,,2,8,5,2,4,0,,,,,,,13,6,0,1,0,4,492,425,422,354,26,43,11,0,7,9,,,51,48,15,9,11,18,8,6,,
29,Bologna,Hellas Verona,1,0,42,58,15,5,3,0,8,3,4,2,6,2,0,2,14,21,1,3,0,0,21,13,,,8,11,1,0,1,0,1,0,1,0,,,8,3,7,2,0,2,318,454,235,368,22,24,7,2,11,8,,,64,59,21,22,11,17,15,10,,
27,Milan,Lazio,2,0,47,53,19,8,3,5,9,1,7,2,5,1,4,2,10,18,1,4,0,0,18,8,,,3,8,4,0,2,0,1,0,4,0,,,10,4,9,4,5,1,459,541,394,465,30,13,3,1,18,8,,,59,52,8,15,15,21,17,10,,
48,Torino,Lazio,1,1,46,54,16,6,5,2,6,4,5,0,6,5,3,3,19,9,3,3,0,0,9,19,,,9,11,2,1,2,0,1,1,,,,,10,2,6,4,1,4,370,453,279,353,23,29,9,0,5,7,,,51,73,23,25,14,22,15,10,,
55,Sassuolo,Salernitana,1,0,58,42,17,12,6,5,6,3,5,4,4,8,0,6,16,16,3,3,0,0,13,14,,,5,13,1,2,0,2,,,,,,,6,8,11,4,4,5,463,327,389,255,34,36,4,8,16,15,,,48,61,13,20,7,12,17,11,,
35,Venezia,Spezia,1,2,45,55,14,12,3,3,6,6,5,3,3,10,,,13,10,4,1,0,0,10,13,,,6,10,,,,,,,,,,,7,4,7,8,1,2,365,462,285,356,30,24,2,6,7,10,,,57,56,23,15,17,18,11,10,,
0,Hellas Verona,Sassuolo,2,3,39,61,15,18,4,7,8,6,3,5,7,4,0,1,11,12,3,2,1,0,12,11,,,6,12,5,2,4,0,1,0,,,,,11,9,4,9,4,2,312,525,257,465,30,27,9,1,7,12,,,40,39,9,9,12,7,7,5,,
60,Cagliari,Venezia,1,1,42,58,9,11,3,4,4,5,2,2,2,4,2,2,15,19,2,5,0,0,18,15,,,6,10,1,1,0,1,1,0,3,0,,,2,8,7,3,3,2,370,498,297,416,36,38,1,3,5,4,,,53,48,19,22,12,8,9,9,,
7,Roma,Fiorentina,3,1,42,58,11,11,6,8,5,2,0,1,4,4,4,2,12,15,3,2,1,1,14,12,,,3,6,5,2,2,1,1,0,3,0,,,8,8,3,3,7,3,365,515,301,460,31,40,6,5,12,8,,,51,39,12,9,13,12,11,13,,
42,Fiorentina,Inter,1,3,53,47,14,17,6,5,5,7,3,5,4,8,1,1,11,15,2,3,1,0,15,10,,,8,7,2,5,1,2,,,0,2,,,5,13,9,4,2,5,497,429,434,366,30,21,3,8,3,4,,,29,33,5,10,6,9,13,5,,
61,Salernitana,Genoa,1,0,49,51,10,18,4,3,5,10,1,5,9,8,,,15,17,2,2,0,0,17,14,,,10,7,1,1,0,1,1,0,,,,,7,12,3,6,3,3,368,383,288,307,28,21,6,6,6,12,,,58,59,20,14,15,19,8,11,,
19,Salernitana,Roma,0,4,20,80,5,28,0,9,4,8,1,11,1,10,2,3,12,11,2,2,0,0,10,12,,,11,7,0,1,,,,,0,1,,,4,18,1,10,5,0,172,714,89,637,12,35,3,8,2,5,,,40,40,15,17,13,6,11,8,,
49,Roma,Udinese,1,0,52,48,12,8,2,3,6,5,4,0,6,6,1,2,22,8,4,1,1,0,8,21,,,9,8,2,1,1,1,2,0,,,,,6,6,6,2,2,1,505,469,435,392,30,25,3,3,8,13,,,47,58,12,8,19,16,9,13,,
44,Spezia,Juventus,2,3,40,60,10,26,5,9,3,8,2,9,5,15,,,14,10,2,1,0,0,7,13,,,10,6,2,3,2,2,,,2,0,,,7,16,3,10,6,2,346,514,272,439,24,52,5,11,10,11,,,46,69,10,23,19,23,4,6,,
39,Udinese,Napoli,0,4,38,62,9,18,1,8,5,7,3,3,2,5,3,3,10,11,2,1,0,0,11,10,,,7,10,0,5,0,3,0,2,,,,,1,13,8,5,4,1,384,642,338,587,18,36,1,5,7,15,,,31,42,10,9,3,8,8,6,,
33,Salernitana,Atalanta,0,1,42,58,10,10,1,3,7,3,2,4,6,4,2,1,21,13,4,4,0,0,12,17,,,7,8,1,2,1,1,2,1,2,0,,,4,7,6,3,2,1,371,531,281,449,13,27,5,1,6,2,,,49,48,18,17,13,12,8,13,,
59,Venezia,Torino,1,1,44,56,7,8,1,3,5,2,1,3,4,1,2,1,9,18,1,4,0,1,18,9,,,2,4,2,2,1,1,,,0,1,,,5,4,2,4,2,0,360,474,268,388,27,29,4,2,11,9,,,61,61,13,22,19,21,5,19,,
46,Milan,Venezia,2,0,67,33,14,8,4,2,7,6,3,0,4,4,1,1,12,13,0,2,0,0,13,12,,,7,12,3,1,1,1,,,,,,,8,4,6,4,2,2,637,314,559,237,31,25,8,2,18,3,,,64,47,11,16,22,17,9,17,,
57,Lazio,Roma,3,2,49,51,10,20,4,8,6,6,0,6,1,9,2,1,12,13,2,4,0,0,13,11,,,8,10,5,2,3,1,0,1,4,0,,,8,17,2,3,6,1,435,441,378,376,20,36,3,10,11,18,,,57,62,14,13,19,20,4,11,,
53,Juventus,Sampdoria,3,2,51,49,16,5,6,3,6,2,4,0,4,2,0,3,22,16,4,3,0,0,14,21,,,7,11,4,1,2,0,,,,,,,9,3,7,2,1,3,463,453,370,366,35,17,4,2,11,6,,,41,58,11,16,6,15,12,12,,
43,Salernitana,Hellas Verona,2,2,50,50,15,10,4,5,7,3,4,2,4,5,0,1,13,17,2,3,0,0,16,12,,,5,8,4,2,2,0,0,2,0,1,,,12,7,3,3,3,2,369,384,287,293,28,24,7,2,11,7,,,67,56,22,12,18,25,15,9,,
54,Empoli,Bologna,4,2,37,63,15,20,7,5,5,9,3,6,2,10,3,1,15,22,2,2,0,0,22,15,,,8,4,1,4,0,3,1,3,,,,,11,12,4,8,3,4,273,456,207,377,20,32,7,12,7,7,,,47,45,4,14,14,10,11,6,,
37,Lazio,Cagliari,2,2,73,27,28,10,10,3,8,4,10,3,10,1,1,4,3,11,1,3,0,1,11,3,,,6,17,1,5,1,3,1,1,,,,,18,6,10,4,1,8,686,256,606,167,25,26,8,3,17,12,,,51,41,12,10,11,16,7,19,,
62,Torino,Juventus,0,1,47,53,13,10,2,3,8,5,3,2,4,6,1,0,20,14,3,1,0,0,13,20,,,6,9,1,3,1,3,0,1,0,2,,,8,5,5,5,2,2,399,450,308,356,12,41,4,4,8,7,,,57,61,16,27,20,8,15,7,,
31,Genoa,Fiorentina,1,2,35,65,9,16,3,5,3,6,3,5,1,11,3,1,13,16,4,4,0,0,15,11,,,7,5,2,1,1,1,,,0,1,,,4,9,5,7,3,2,322,584,254,516,19,52,4,5,10,6,,,49,48,10,11,14,20,12,4,,
32,Inter,Bologna,6,1,45,55,19,7,11,2,5,5,3,0,5,1,2,0,10,10,0,3,0,0,10,10,,,6,5,7,4,2,3,1,0,2,2,,,14,5,5,2,1,5,430,524,392,463,26,25,2,5,11,8,,,40,39,7,7,12,14,10,5,,
38,Juventus,Milan,1,1,44,56,9,13,4,3,5,6,0,4,4,4,3,0,13,16,1,1,0,0,16,11,,,9,8,2,2,1,1,,,2,2,,,7,5,2,8,2,3,392,486,327,436,54,32,5,6,8,8,,,50,44,5,11,21,14,7,9,,
56,Udinese,Fiorentina,0,1,45,55,12,8,5,2,4,5,3,1,4,1,,,14,11,2,3,0,0,9,14,,,7,7,0,1,,,,,,,,,6,4,6,4,1,5,472,573,404,495,23,43,2,2,21,4,,,60,51,9,14,21,19,4,5,,
4,Bologna,Salernitana,3,2,73,27,18,10,7,4,3,4,8,2,9,4,0,2,13,15,6,3,2,1,14,13,,,6,7,2,2,0,1,,,,,,,10,6,8,4,2,4,549,196,459,108,23,12,5,2,6,4,,,49,47,18,15,12,15,6,7,,
58,Napoli,Cagliari,2,0,68,32,17,6,7,1,8,2,2,3,6,4,1,2,12,10,2,1,0,0,10,10,,,1,7,2,0,,,,,1,0,,,7,3,10,3,1,5,740,333,688,266,26,24,1,4,11,5,,,41,40,11,13,9,13,7,14,,
17,Sassuolo,Sampdoria,0,0,63,37,19,11,5,2,10,6,4,3,8,6,0,3,8,14,2,2,0,0,13,7,,,10,11,1,0,1,0,,,2,0,,,10,5,9,6,2,5,582,329,489,236,30,22,4,3,16,5,,,46,47,7,14,10,21,9,13,,
51,Inter,Atalanta,2,2,49,51,19,22,6,5,9,11,4,6,4,11,0,1,13,11,3,5,0,0,10,11,,,12,11,7,1,5,0,1,1,,,,,16,14,3,8,3,4,403,416,315,330,29,23,9,9,3,2,,,41,46,20,25,8,8,6,18,,
63,Sassuolo,Inter,1,2,56,44,12,18,8,3,3,8,1,7,6,8,0,3,10,19,4,2,0,0,18,10,,,8,7,2,2,1,0,,,,,,,8,14,4,4,1,7,492,386,412,315,19,28,3,6,10,6,,,48,54,10,17,10,21,9,9,,
26,Torino,Salernitana,4,0,60,40,15,8,7,2,5,3,3,3,7,4,1,1,10,11,0,2,0,0,9,10,,,3,6,5,0,1,0,0,1,1,2,,,12,4,3,4,2,3,493,328,410,239,32,15,11,6,5,1,,,43,38,19,18,10,9,14,10,,
18,Milan,Cagliari,4,1,57,43,18,7,5,2,5,3,8,2,8,3,1,0,13,11,1,5,0,0,10,12,,,6,11,4,0,2,0,,,2,0,,,10,6,8,1,1,1,517,392,464,337,29,25,7,5,8,6,,,35,44,11,14,6,12,6,4,,
