number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
7,Sampdoria,Benevento,2,1,64,36,16,18,6,7,4,9,6,2,6,7,2,3,10,10,1,2,0,0,10,9,,,12,7,,,,,,,,,,,10,8,6,10,6,4,623,333,541,262,,,,,,,,,55,45,10,8,,,,,,
10,Benevento,Bologna,0,1,49,51,18,14,6,4,9,6,3,4,6,2,4,2,10,13,1,3,0,0,12,9,,,10,14,,,,,,,1,2,,,10,9,8,5,3,6,421,445,335,346,,,,,,,,,54,47,12,9,,,,,,
1,Hellas Verona,Napoli,1,3,39,61,12,22,4,12,8,9,0,1,3,6,4,1,7,9,2,2,0,1,9,6,,,10,12,,,,,,,0,2,,,10,13,2,10,9,3,428,667,335,578,,,,,,,,,33,46,9,9,,,,,,
0,Juventus,Cagliari,3,0,63,37,17,5,7,2,5,2,5,1,4,1,2,0,13,11,1,0,0,0,10,13,,,4,4,1,2,0,2,1,0,,,,,7,5,10,0,2,4,685,408,609,320,49,29,2,1,16,10,,,42,49,8,10,8,17,16,9,,
47,Hellas Verona,Sampdoria,0,0,36,64,14,17,5,7,7,7,2,3,4,7,1,3,17,6,3,1,0,0,6,17,,,10,9,,,,,0,1,,,,,7,11,7,6,5,5,331,573,243,488,,,,,,,,,39,49,12,14,,,,,,
18,Napoli,Atalanta,3,1,58,42,10,14,4,2,3,5,3,7,9,6,4,2,15,9,1,2,0,0,9,15,,,7,8,,,,,,,2,0,,,7,8,3,6,1,1,576,397,479,292,,,,,,,,,49,68,17,12,,,,,,
27,Lazio,Milan,4,1,40,60,12,18,7,6,3,4,2,8,3,5,3,2,14,12,3,1,1,0,12,13,,,13,5,,,,,,,2,0,,,9,7,3,11,5,3,427,631,342,560,,,,,,,,,50,38,11,3,,,,,,
16,Fiorentina,Sampdoria,1,2,56,44,25,12,10,5,6,5,9,2,14,6,5,1,20,11,3,4,0,0,11,18,,,4,9,,,,,,,,,,,16,7,9,5,3,9,442,355,356,269,,,,,,,,,47,49,14,13,,,,,,
17,Milan,Cagliari,2,1,49,51,15,14,5,4,5,6,5,4,2,6,2,2,20,17,2,1,0,0,15,19,,,11,9,,,,,0,1,1,0,,,7,8,8,6,3,3,416,433,349,353,,,,,,,,,43,44,13,10,,,,,,
28,Benevento,Torino,0,1,34,66,15,16,5,6,4,2,6,8,2,10,2,3,12,22,2,2,0,0,20,11,,,6,7,,,,,,,,,,,6,9,9,7,6,5,280,536,215,469,,,,,,,,,61,43,9,11,,,,,,
