number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
3,1,2,0,0,67,33,,,4,2,4,1,,,2,2,2,2,9,24,0,1,0,0,26,11,,,3,13,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,
8,1,2,2,0,55,45,,,6,1,6,4,,,5,1,0,3,18,12,2,1,0,0,15,18,,,10,10,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,
0,1,2,2,2,42,58,,,3,3,3,8,,,1,5,1,3,14,14,0,2,0,0,17,15,,,9,7,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
13,1,2,0,0,45,55,,,6,2,7,6,,,1,1,1,1,15,11,1,2,0,0,12,16,,,8,13,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,
39,1,2,5,0,61,39,,,7,2,2,1,,,4,7,3,0,8,14,0,1,0,0,14,11,,,2,6,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,
12,1,2,0,1,55,45,,,1,3,5,4,,,1,3,1,3,13,3,4,1,0,0,6,14,,,7,10,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
33,1,2,4,2,54,46,,,6,3,5,5,,,4,7,1,1,13,11,2,2,0,1,12,14,,,6,9,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,
18,1,2,3,1,54,46,,,11,3,5,4,,,2,3,2,2,8,11,2,2,0,0,13,10,,,8,12,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,
30,1,2,4,0,58,42,,,6,3,3,2,,,11,4,3,0,13,15,1,2,0,0,15,16,,,6,6,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
25,1,2,1,3,48,52,,,2,7,4,4,,,7,3,1,3,9,20,2,5,0,1,23,10,,,9,5,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
1,1,2,3,3,39,61,,,4,4,4,1,,,1,2,0,2,26,20,3,1,0,0,22,26,,,6,11,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
55,1,2,3,3,53,47,,,10,4,9,3,,,4,6,2,1,11,14,2,3,0,0,15,13,,,6,12,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,
4,1,2,0,1,47,53,,,3,3,6,3,,,1,1,1,1,16,19,2,2,0,0,20,17,,,5,9,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,
31,1,2,1,1,60,40,,,4,2,7,1,,,7,2,2,1,11,18,1,3,0,0,19,13,,,5,14,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
43,1,2,1,0,47,53,,,1,4,8,2,,,3,4,2,1,13,16,1,2,0,0,17,15,,,5,14,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
38,1,2,2,1,45,55,,,3,4,1,4,,,7,4,1,1,19,11,1,0,0,0,12,20,,,6,5,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,
17,1,2,0,2,60,40,,,3,2,9,2,,,6,1,2,1,18,18,1,0,0,0,19,20,,,8,16,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,
