number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
159,Nice,Toulouse,3,0,67,33,11,12,6,0,4,8,1,4,2,2,,,6,15,0,2,0,0,15,6,,,9,5,,,,,,,,,,,7,5,4,7,0,3,713,340,644,272,,,,,,,,,51,47,8,7,,,,,,
177,Toulouse,AS Nancy,1,1,53,47,5,10,2,3,1,5,2,2,3,3,0,7,17,12,1,3,0,0,12,16,,,8,4,,,,,,,,,,,4,4,1,6,3,0,467,389,336,272,,,,,,,,,65,69,27,27,,,,,,
154,Bordeaux,Lille,0,1,48,52,8,16,1,9,3,1,4,6,5,4,4,1,15,17,2,3,0,0,17,14,,,2,10,,,,,1,1,,,,,3,8,5,8,8,1,379,426,301,349,,,,,,,,,58,58,13,12,,,,,,
182,AS Monaco,SM Caen,2,1,57,43,21,16,6,5,8,10,7,1,5,2,2,1,15,12,3,2,0,1,12,14,,,8,12,,,,,0,1,,,,,11,8,10,8,4,4,451,330,378,239,,,,,,,,,43,65,9,16,,,,,,
163,Bastia,Metz,2,0,48,52,16,8,6,1,8,6,2,1,5,5,1,4,13,19,2,2,0,0,16,12,,,9,9,,,,,0,1,,,,,7,7,9,1,1,3,329,343,223,253,,,,,,,,,73,73,28,29,,,,,,
161,Dijon FCO,Olympique Marseille,1,2,52,48,14,12,5,7,6,4,3,1,7,4,3,0,12,18,1,2,0,0,17,11,,,6,11,0,4,0,2,,,0,1,,,9,8,5,4,4,4,440,429,336,331,45,24,5,5,10,16,,,76,59,17,10,32,22,15,10,,
158,Olympique Marseille,AS Nancy,3,0,64,36,19,7,9,2,8,5,2,0,6,1,3,3,14,8,1,1,0,1,6,13,,,7,17,0,1,0,1,1,0,,,,,11,6,8,1,2,5,543,302,470,228,27,18,6,6,19,6,,,59,56,21,12,13,24,12,9,,
148,Toulouse,Montpellier,1,0,45,55,5,11,3,2,0,8,2,1,1,6,4,5,14,12,2,3,0,0,10,14,,,17,7,,,,,,,0,1,,,3,6,2,5,2,2,371,426,241,303,,,,,,,,,71,77,28,34,,,,,,
174,Lorient,Saint-Étienne,2,1,63,37,21,9,9,3,10,4,2,2,6,3,0,3,12,13,4,2,0,1,13,12,,,8,14,,,,,3,1,2,0,,,11,3,10,6,2,7,564,331,483,250,,,,,,,,,43,40,9,12,,,,,,
167,Toulouse,Lorient,3,2,37,63,10,17,5,8,4,5,1,4,3,8,3,1,8,5,2,0,0,0,5,8,,,8,6,,,,,0,1,,,,,4,13,6,4,6,2,344,555,248,462,,,,,,,,,30,37,8,10,,,,,,
169,Saint-Étienne,Guingamp,1,0,39,61,7,18,2,8,4,10,1,0,4,4,3,4,13,14,0,2,0,0,13,11,,,15,3,,,,,1,1,1,0,,,4,9,3,9,8,1,378,587,282,480,,,,,,,,,69,52,24,18,,,,,,
