number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away,home_odd,draw_odd,away_odd
13,Cobresal,Audax Italiano,1,2,,,38,12,8,8,10,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,270,34,28,14,2,4,10,,,,,,,,,14,8,,,1.1818181818181819,2.0,0.0
23,Unión La Calera,Cobresal,2,1,,,14,10,0,0,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,250,48,22,6,0,16,10,,,,,,,,,34,6,,,0.09090909090909091,1.6666666666666667,3.0
37,Colo-Colo,Universidad Católica,2,3,,,10,12,4,8,0,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,462,50,4,8,0,8,12,,,,,,,,,30,10,,,0.7,1.4285714285714286,0.4444444444444444
11,O'Higgins,Universidad de Chile,1,0,,,10,16,0,12,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,324,24,34,2,2,2,12,,,,,,,,,16,10,,,0.2,0.4444444444444444,0.4
2,Deportes Iquique,Curicó Unido,0,0,,,16,0,2,4,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,50,40,4,8,10,10,12,,,,,,,,,12,4,,,0.2,2.142857142857143,0.1111111111111111
9,Colo-Colo,Universidad de Concepción,1,0,,,0,2,4,0,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,594,28,20,2,0,14,4,,,,,,,,,20,24,,,1.4444444444444444,1.9,8.0
4,Universidad de Concepción,Everton de Viña del Mar,0,0,,,2,6,2,2,8,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,322,46,52,0,6,6,12,,,,,,,,,6,10,,,0.5,1.3,1.875
14,Palestino,Huachipato,3,1,,,4,28,6,2,4,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,540,0,54,0,10,0,16,,,,,,,,,0,16,,,1.0,3.5,4.5
0,Unión La Calera,Palestino,2,0,,,12,12,2,2,2,2,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,510,14,70,8,0,8,12,,,,,,,,,2,28,,,0.625,1.1111111111111112,1.75
5,Huachipato,O'Higgins,2,1,,,0,24,6,2,20,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,304,10,20,8,4,4,26,,,,,,,,,32,10,,,1.0909090909090908,0.4,0.4444444444444444
