number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away,home_odd,draw_odd,away_odd
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ñublense,Deportes Magallanes,3,2,,,34,16,4,8,8,8,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,870,20,48,6,0,2,8,,,,,,,,,8,8,,,2.4285714285714284,2.7142857142857144,2.5
33,Ñublense,O'Higgins,2,1,,,8,10,0,4,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,214,46,42,6,8,0,6,,,,,,,,,6,0,,,0.0,1.25,6.0
7,Universidad de Chile,Huachipato,1,3,,,6,18,6,4,10,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,368,24,4,2,0,16,0,,,,,,,,,14,20,,,0.45454545454545453,3.25,5.0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Cobresal,Deportes Copiapó,1,0,,,30,6,0,0,4,16,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,432,44,28,6,20,6,2,,,,,,,,,0,14,,,0.125,0.0,1.0
39,Audax Italiano,Universidad Católica,1,2,,,20,14,2,4,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,40,18,64,2,2,6,6,,,,,,,,,0,4,,,0.09090909090909091,0.625,0.6
23,O'Higgins,Huachipato,0,1,,,8,12,2,0,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,304,66,8,6,0,14,16,,,,,,,,,18,38,,,1.25,2.6666666666666665,1.2
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Colo Colo,Ñublense,1,0,,,2,0,0,0,6,2,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,566,56,60,8,2,8,4,,,,,,,,,6,4,,,1.1,3.1666666666666665,0.0
4,Everton de Viña del Mar,Universidad Católica,0,3,,,20,2,10,4,0,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,448,14,30,8,2,0,4,,,,,,,,,6,4,,,1.8571428571428572,2.0,1.375
10,Coquimbo Unido,Palestino,1,1,,,12,0,6,4,2,8,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,238,20,66,0,6,2,0,,,,,,,,,12,14,,,0.0,1.6,0.0
46,Universidad Católica,Palestino,5,2,,,12,8,2,6,2,10,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,34,70,28,4,0,10,0,,,,,,,,,6,0,,,0.16666666666666666,0.7272727272727273,4.5
5,Deportes Copiapó,Colo Colo,2,5,,,22,2,4,10,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,476,54,48,6,6,0,12,,,,,,,,,8,2,,,3.5,1.6666666666666667,3.6
2,Palestino,Audax Italiano,1,1,,,2,16,0,2,14,12,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,272,36,52,10,0,16,8,,,,,,,,,0,0,,,2.8333333333333335,1.8571428571428572,1.0
32,Universidad Católica,Cobresal,3,3,,,4,6,6,0,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,552,72,0,2,14,12,2,,,,,,,,,0,12,,,3.1666666666666665,2.6,0.25
