number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away,home_odd,draw_odd,away_odd
58,Deportes La Serena,Everton de Viña del Mar,1,3,,,6,2,0,6,8,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,254,12,64,2,4,16,8,,,,,,,,,6,24,,,2.0,1.3,0.75
16,O'Higgins,Huachipato,1,1,,,16,6,6,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,236,38,44,6,6,6,8,,,,,,,,,16,24,,,8.0,1.2,0.1111111111111111
34,Coquimbo Unido,CD Antofagasta,3,2,,,6,2,4,0,8,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,436,18,68,2,10,2,0,,,,,,,,,4,2,,,5.333333333333333,0.1,1.0
12,Deportes La Serena,Colo Colo,1,1,,,18,26,0,4,4,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,18,6,14,0,8,6,10,,,,,,,,,20,0,,,0.0,0.1111111111111111,0.75
24,Unión La Calera,Everton de Viña del Mar,1,1,,,10,4,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,270,12,38,2,0,2,0,,,,,,,,,2,14,,,1.0,1.0,0.0
39,Cobresal,Universidad Católica,3,1,,,4,22,2,4,2,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,786,22,60,0,4,0,8,,,,,,,,,18,14,,,1.2222222222222223,4.0,0.5454545454545454
22,Universidad Católica,Curicó Unido,1,0,,,40,6,0,2,14,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,244,4,34,4,0,4,10,,,,,,,,,10,10,,,3.8,3.4,2.7142857142857144
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Coquimbo Unido,Palestino,2,2,,,16,14,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,156,74,12,0,0,6,10,,,,,,,,,0,10,,,0.2857142857142857,1.6666666666666667,1.3333333333333333
52,Huachipato,Deportes La Serena,2,3,,,6,18,6,8,6,8,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,194,30,26,6,6,6,6,,,,,,,,,50,18,,,0.6363636363636364,1.125,3.1666666666666665
10,Huachipato,Audax Italiano,2,1,,,0,10,0,4,8,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,26,40,16,2,4,8,10,,,,,,,,,8,32,,,0.5454545454545454,2.375,0.4444444444444444
26,Cobresal,Ñublense,1,1,,,10,22,4,2,6,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,206,54,34,6,0,6,6,,,,,,,,,0,16,,,1.7777777777777777,1.6666666666666667,1.2222222222222223
40,Deportes La Serena,Cobresal,2,3,,,6,10,4,4,10,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,550,22,28,0,10,8,8,,,,,,,,,14,12,,,1.4285714285714286,0.0,1.2
17,Unión Española,Everton de Viña del Mar,1,1,,,24,8,4,0,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,18,12,48,12,6,8,10,,,,,,,,,0,30,,,0.8,1.6,3.0
48,1,2,2,0,,,2,12,6,2,2,16,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,42,42,72,2,8,4,4,,,,,,,,,18,0,,,0.6666666666666666,0.0,2.2857142857142856
18,Colo Colo,Audax Italiano,1,1,,,6,6,10,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,92,28,22,12,0,0,6,,,,,,,,,6,12,,,1.0,0.75,4.0
6,Audax Italiano,Ñublense,1,2,,,16,24,4,2,6,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,16,44,40,0,0,18,0,,,,,,,,,34,6,,,0.8571428571428571,1.0,0.125
50,O'Higgins,Universidad Católica,2,1,,,2,0,2,0,8,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,408,50,42,2,8,6,0,,,,,,,,,6,22,,,0.8,0.3333333333333333,1.6
11,Universidad de Chile,CD Antofagasta,2,1,,,0,2,0,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,142,12,0,0,0,0,2,,,,,,,,,6,4,,,0.3,1.6363636363636365,0.75
25,Deportes La Serena,Coquimbo Unido,1,1,,,6,26,2,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,458,42,44,2,0,6,14,,,,,,,,,2,16,,,0.2222222222222222,6.5,0.8571428571428571
30,Curicó Unido,Unión Española,0,1,,,2,22,0,0,2,10,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,472,42,4,6,10,2,8,,,,,,,,,10,2,,,0.75,1.7,1.0
32,Palestino,Unión La Calera,0,0,,,6,2,0,2,6,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,16,38,36,6,2,4,20,,,,,,,,,16,10,,,1.125,1.5,1.6363636363636365
41,Coquimbo Unido,Ñublense,0,1,,,16,12,2,0,12,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,218,6,24,0,0,14,2,,,,,,,,,2,6,,,0.625,5.0,1.0
56,Unión Española,Ñublense,1,0,,,8,18,6,2,0,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,662,42,12,2,2,10,2,,,,,,,,,0,2,,,3.5,0.5555555555555556,3.4
15,Cobresal,Curicó Unido,2,3,,,2,18,4,6,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,292,34,56,10,0,12,34,,,,,,,,,10,0,,,1.2,2.5,0.8
