number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away,home_odd,draw_odd,away_odd
0,Curicó Unido,Deportes Melipilla,2,0,,,6,18,10,0,8,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,434,72,6,0,4,4,18,,,,,,,,,6,6,,,0.7777777777777778,0.4444444444444444,1.3636363636363635
3,Unión Española,Santiago Wanderers,3,1,,,16,2,6,0,0,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,582,40,24,10,0,2,12,,,,,,,,,16,0,,,0.7272727272727273,5.666666666666667,1.6666666666666667
19,Santiago Wanderers,Unión La Calera,1,2,,,28,8,0,2,0,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,218,52,54,6,0,4,0,,,,,,,,,10,6,,,3.0,1.0909090909090908,0.8
5,Huachipato,Cobresal,0,0,,,20,4,2,0,4,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,390,60,8,8,2,4,6,,,,,,,,,6,6,,,1.6666666666666667,0.5,3.0
1,Everton de Viña del Mar,O'Higgins,1,1,,,6,4,0,4,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654,294,16,32,16,0,12,0,,,,,,,,,2,4,,,0.8333333333333334,0.45454545454545453,3.5
2,Colo Colo,Unión La Calera,0,0,,,20,22,0,0,0,4,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,560,16,70,0,0,6,4,,,,,,,,,14,24,,,2.8,0.2,1.1
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Audax Italiano,Deportes La Serena,2,1,,,8,4,6,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,510,30,26,0,2,10,2,,,,,,,,,44,22,,,0.3333333333333333,0.3333333333333333,4.5
14,Universidad Católica,Palestino,2,1,,,20,6,0,0,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,258,0,50,2,2,6,16,,,,,,,,,26,18,,,0.42857142857142855,2.4,0.5
16,Unión Española,Deportes Melipilla,0,2,,,10,0,8,2,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,212,42,10,4,0,2,0,,,,,,,,,14,22,,,3.0,0.0,0.6363636363636364
29,Cobresal,Santiago Wanderers,2,1,,,2,6,0,4,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,116,24,16,2,0,8,4,,,,,,,,,12,6,,,0.6,1.6666666666666667,1.0
13,Deportes La Serena,Curicó Unido,2,0,,,14,16,0,2,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,100,56,24,0,4,2,8,,,,,,,,,6,38,,,0.09090909090909091,3.4,5.0
22,Palestino,Everton de Viña del Mar,1,1,,,22,10,6,0,2,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,582,4,18,2,0,8,2,,,,,,,,,8,6,,,0.4,0.4,0.6
11,Universidad de Chile,Huachipato,1,1,,,8,8,0,2,4,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,500,22,36,2,2,10,10,,,,,,,,,14,0,,,8.0,0.5,2.5714285714285716
32,Curicó Unido,Everton de Viña del Mar,1,1,,,24,2,0,4,0,8,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,100,28,20,0,4,12,2,,,,,,,,,14,2,,,5.0,5.333333333333333,7.5
4,Palestino,CD Antofagasta,2,4,,,20,16,6,12,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,92,84,2,0,0,2,2,,,,,,,,,6,8,,,2.1666666666666665,1.25,2.142857142857143
8,CD Antofagasta,Everton de Viña del Mar,1,2,,,28,0,6,8,4,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,292,36,10,18,6,4,16,,,,,,,,,8,22,,,1.0,3.4,0.375
28,Unión La Calera,Audax Italiano,1,1,,,6,8,2,12,6,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,174,16,52,0,2,2,4,,,,,,,,,2,10,,,1.1,3.25,0.0
20,Colo Colo,O'Higgins,1,2,,,10,10,0,4,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,380,70,28,0,0,0,2,,,,,,,,,0,6,,,1.1,3.8,0.16666666666666666
31,Universidad de Chile,Unión Española,2,1,,,0,6,4,2,2,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,678,48,16,2,6,6,2,,,,,,,,,4,8,,,2.6666666666666665,4.0,2.3333333333333335
6,Ñublense,Universidad Católica,0,1,,,22,8,4,0,0,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,350,48,62,12,4,6,10,,,,,,,,,4,0,,,1.1428571428571428,1.6363636363636365,1.8333333333333333
37,Santiago Wanderers,Ñublense,1,2,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,1.1111111111111112
34,Deportes La Serena,Unión Española,0,0,,,2,14,4,0,6,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,142,30,42,0,2,12,12,,,,,,,,,8,16,,,2.7142857142857144,0.7142857142857143,1.4
46,Huachipato,O'Higgins,0,1,,,10,2,8,2,6,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,214,68,16,0,4,16,0,,,,,,,,,14,20,,,0.7,0.8181818181818182,3.6666666666666665
17,Audax Italiano,Universidad Católica,1,0,,,2,4,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,106,18,58,4,2,4,0,,,,,,,,,14,6,,,2.0,1.0,1.5
42,Unión La Calera,CD Antofagasta,2,1,,,32,16,6,6,12,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,88,32,34,8,6,0,0,,,,,,,,,0,40,,,1.7272727272727273,2.1666666666666665,0.3333333333333333
30,Everton de Viña del Mar,Colo Colo,0,2,,,18,4,0,0,12,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,468,6,16,6,4,4,0,,,,,,,,,22,6,,,1.3333333333333333,0.25,0.4444444444444444
