number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away,home_odd,draw_odd,away_odd
14,Colo-Colo,Audax Italiano,3,2,,,0,20,4,0,10,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,62,40,70,0,0,12,0,,,,,,,,,6,18,,,0.2,1.1666666666666667,1.5
26,San Luis de Quillota,Palestino,0,1,,,26,4,2,6,8,16,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,180,52,18,26,4,2,6,,,,,,,,,22,2,,,1.3333333333333333,2.2857142857142856,3.0
38,Unión La Calera,Curicó Unido,0,0,,,8,8,0,0,6,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,282,4,42,2,2,8,16,,,,,,,,,14,20,,,0.75,1.8,5.0
0,Universidad Católica,Deportes Temuco,2,1,,,4,0,0,2,4,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,356,24,0,4,16,4,4,,,,,,,,,14,6,,,0.2,3.0,8.0
21,O'Higgins,Huachipato,2,1,,,38,4,10,0,18,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,408,22,48,2,0,18,0,,,,,,,,,30,28,,,3.3333333333333335,0.4,1.5
6,Audax Italiano,Huachipato,2,4,,,12,6,2,10,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,144,4,0,0,4,4,0,,,,,,,,,18,18,,,1.375,1.1818181818181819,1.2727272727272727
23,Audax Italiano,Deportes Temuco,1,1,,,20,16,0,0,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,360,8,18,0,18,8,18,,,,,,,,,18,12,,,0.18181818181818182,0.375,0.7
10,Deportes Iquique,Universidad de Chile,1,2,,,0,2,4,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,648,28,42,12,2,10,2,,,,,,,,,8,30,,,2.8333333333333335,1.625,0.6666666666666666
55,Unión La Calera,Unión Española,1,0,,,6,2,2,6,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,488,24,48,4,0,2,6,,,,,,,,,16,4,,,0.8,1.25,6.333333333333333
17,Everton de Viña del Mar,Universidad Católica,0,1,,,12,2,0,4,8,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,14,46,30,6,4,0,6,,,,,,,,,20,4,,,2.0,1.0,3.75
