round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Olympique Lyonnais,Ajaccio,2,1,1.34,1.49,68,32,11,8,6,4,4,4,1,0,4,3,,,10,18,1,6,1,1,18,9,22,20,10,4,3,1,2,0,0,1,0,1,6,6,5,2,3,4,635,297,553,218,25,16,2,4,6,4,120,124,52,43,13,8,15,22,11,11,11,8
1,RC Strasbourg,AS Monaco,1,2,0.81,2.82,53,47,11,24,7,11,2,9,2,4,3,7,3,3,17,15,0,2,0,0,14,17,16,20,11,3,2,3,1,2,0,1,0,1,7,17,4,7,9,6,482,411,380,326,36,26,7,9,8,5,155,151,72,52,24,16,26,14,15,10,15,15
1,Clermont Foot,Paris Saint-Germain,0,5,0.31,3.5,39,61,7,18,1,12,3,4,3,2,0,6,0,4,13,13,2,1,0,0,13,13,6,14,4,6,0,8,0,4,0,4,0,2,1,15,6,3,7,1,425,673,355,603,21,21,1,9,12,15,97,106,45,40,4,3,16,9,12,5,16,3
1,Toulouse,Nice,1,1,0.89,1.22,46,54,6,11,4,4,1,7,1,0,6,3,2,2,10,8,1,2,0,0,7,9,18,24,9,8,3,1,2,0,,,,,6,7,0,4,3,2,456,544,370,459,36,16,5,5,7,14,132,138,51,46,14,8,23,15,16,9,11,9
1,Angers,Nantes,0,0,1.6,1.65,49,51,16,14,6,4,7,7,3,3,3,6,1,3,15,13,3,3,0,0,12,14,19,28,11,9,3,1,3,1,,,,,10,10,6,4,3,7,365,375,278,279,22,38,1,5,11,4,143,156,62,57,16,20,23,19,4,8,20,20
1,Lille,Auxerre,4,1,2.37,0.63,60,40,16,10,6,2,5,4,5,4,7,2,2,4,10,9,2,1,0,0,8,10,13,22,6,10,0,2,0,1,1,0,1,0,7,9,9,1,1,2,613,402,558,345,37,46,1,2,7,10,99,101,35,43,6,7,14,16,3,8,14,16
1,Montpellier,Troyes,3,2,1.76,2.02,53,47,17,16,6,10,4,4,7,2,3,6,4,0,13,10,1,0,0,0,9,12,20,16,6,9,2,2,1,1,3,2,3,2,8,11,9,5,8,3,398,342,335,285,23,35,2,10,5,11,113,95,37,55,8,15,15,17,7,15,6,15
1,RC Lens,Stade Brestois,3,2,2.54,1.22,62,38,16,6,7,4,9,1,0,1,6,3,0,2,16,14,2,4,0,0,14,15,21,23,3,10,6,2,4,1,,,,,16,4,0,2,2,4,484,297,409,208,21,14,6,4,10,5,113,129,47,47,11,12,12,15,7,8,10,9
1,Stade Rennais,Lorient,0,1,1.93,1.18,64,36,21,8,6,2,5,4,10,2,7,2,0,1,11,5,3,1,0,0,5,10,20,19,6,8,1,1,1,1,0,3,0,3,15,3,6,5,2,6,635,368,558,295,22,20,8,0,10,12,126,120,51,55,17,8,19,25,9,9,9,19
