round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
27,Nantes,Montpellier,2,0,,,45,55,16,6,5,1,8,3,3,2,6,4,2,1,11,11,1,1,0,0,10,10,28,22,6,8,2,0,1,0,2,0,1,0,10,3,6,3,1,3,374,459,281,367,26,35,5,6,11,7,148,139,47,39,19,10,8,12,9,9,15,27
27,Stade de Reims,RC Strasbourg,1,1,,,55,45,8,17,1,6,5,10,2,1,2,4,1,0,6,11,0,2,0,0,11,5,18,16,13,10,2,1,1,1,,,,,3,10,5,7,5,0,548,455,468,374,30,31,4,4,10,7,122,131,40,36,7,12,12,12,8,10,20,12
27,Stade Rennais,Angers,2,0,,,57,43,15,7,4,2,8,2,3,3,7,7,1,1,11,7,1,1,0,0,7,10,11,31,3,11,5,1,3,1,0,1,0,1,12,5,3,2,2,2,578,436,489,356,48,22,8,5,4,12,128,153,43,40,8,9,24,9,19,15,14,18
27,Lille,Clermont Foot,4,0,,,48,52,15,9,8,1,4,5,3,3,3,2,1,0,15,9,1,3,0,1,9,14,17,15,10,6,3,0,1,0,1,0,1,0,10,5,5,4,1,4,454,474,379,401,16,23,4,7,8,1,118,111,35,46,9,12,9,19,6,12,18,8
27,Olympique de Marseille,AS Monaco,0,1,,,67,33,14,5,2,3,7,2,5,0,10,3,2,3,13,9,2,1,0,0,9,13,22,14,6,14,0,1,,,,,,,10,4,4,1,2,2,666,333,580,261,37,24,5,1,11,8,139,122,56,47,15,15,21,11,3,12,13,25
28,Lille,Saint-Étienne,0,0,,,51,49,10,11,2,3,4,4,4,4,2,3,5,0,14,12,1,1,0,0,12,14,23,18,10,6,1,0,1,0,4,1,4,1,8,4,2,7,3,2,511,506,442,421,34,27,3,0,6,8,137,139,52,51,13,4,21,25,9,6,7,8
28,Montpellier,Nice,0,0,,,57,43,24,8,7,0,10,6,7,2,13,1,1,2,10,8,3,2,0,1,7,9,25,19,7,15,2,2,2,2,0,1,0,1,14,4,10,4,0,5,443,355,357,272,21,24,9,3,3,14,153,134,42,56,12,20,20,13,6,7,7,43
28,Troyes,Nantes,1,0,,,44,56,11,6,2,1,6,3,3,2,8,4,3,1,7,16,1,1,0,0,16,6,21,24,9,7,2,1,1,1,1,0,1,0,7,4,4,2,1,2,417,523,335,440,25,40,6,4,8,4,130,145,63,42,20,16,19,16,15,9,21,20
28,Paris Saint-Germain,Bordeaux,3,0,,,57,43,12,15,5,5,5,5,2,5,2,4,3,5,5,9,1,3,0,0,9,5,14,14,8,7,4,1,1,1,1,0,1,0,5,6,7,9,5,1,626,447,568,380,24,39,1,8,23,10,112,129,58,41,5,1,21,25,11,14,15,6
28,Angers,Stade de Reims,0,1,,,63,37,20,10,7,3,4,4,9,3,4,2,0,5,19,8,6,2,1,1,8,18,20,23,5,9,3,2,3,2,0,1,0,1,13,9,7,1,2,6,573,343,495,263,34,32,5,4,15,7,137,130,53,46,16,10,14,11,8,20,10,22
28,Clermont Foot,Lorient,0,2,,,53,47,10,9,1,6,6,2,3,1,2,2,0,2,14,14,1,2,0,0,11,13,27,19,4,11,2,2,2,0,0,1,0,1,7,6,3,3,4,1,514,469,419,370,36,34,8,1,6,8,136,136,46,49,17,14,12,15,7,11,9,10
28,Metz,RC Lens,0,0,,,49,51,6,11,3,0,1,8,2,3,5,4,1,4,11,14,5,2,0,0,14,11,27,15,15,1,1,1,1,1,1,0,1,0,2,4,4,7,0,3,453,480,366,384,38,17,3,3,8,6,145,143,46,44,15,12,10,15,14,13,14,15
28,RC Strasbourg,AS Monaco,1,0,,,45,55,11,5,3,0,5,2,3,3,6,7,2,1,10,13,1,2,0,0,13,8,22,20,9,11,0,2,0,2,,,,,8,3,3,2,0,2,401,488,290,364,31,27,7,2,4,12,168,180,52,63,22,24,13,19,23,13,26,13
28,Olympique Lyonnais,Stade Rennais,2,4,,,62,38,11,9,2,7,7,1,2,1,8,2,3,3,8,12,2,3,0,0,11,8,22,22,4,8,1,2,,,0,4,0,3,8,7,3,2,3,1,579,366,498,276,25,25,9,2,13,4,144,143,64,47,21,20,19,15,8,13,12,18
28,Stade Brestois,Olympique de Marseille,1,4,,,47,53,8,13,2,7,5,4,1,2,0,3,2,4,11,15,1,4,0,0,15,11,16,13,7,7,0,4,0,1,,,,,5,7,3,6,3,1,441,501,375,432,31,20,2,3,7,8,121,105,35,46,8,12,5,16,11,12,6,13
29,Saint-Étienne,Troyes,1,1,,,63,37,10,8,3,4,5,2,2,2,1,4,1,1,13,9,2,2,0,0,9,11,32,23,4,12,1,1,,,,,,,5,4,5,4,3,2,568,338,480,242,23,19,1,1,9,9,152,160,47,48,8,11,21,17,12,16,12,19
29,RC Lens,Clermont Foot,3,1,,,60,40,20,10,7,3,7,4,6,3,7,2,3,0,15,13,1,1,0,0,11,15,28,21,7,7,0,3,0,2,,,,,13,9,7,1,2,4,544,363,459,284,17,23,7,4,13,5,148,123,50,46,9,6,17,21,6,12,14,21
29,Nantes,Lille,0,1,,,52,48,11,12,3,4,5,3,3,5,7,7,1,0,19,15,3,4,0,1,15,18,30,17,7,9,1,3,1,2,0,1,0,1,6,7,5,5,3,3,371,349,286,266,33,16,4,3,12,7,153,128,67,68,23,17,18,27,6,8,8,16
29,AS Monaco,Paris Saint-Germain,3,0,,,39,61,13,13,8,6,3,6,2,1,6,7,4,0,17,10,3,3,0,0,9,17,16,17,9,5,4,3,2,3,,,,,9,9,4,4,5,5,385,607,310,526,30,25,2,3,5,12,126,130,40,51,9,7,17,15,12,2,16,21
29,Angers,Stade Brestois,1,0,,,50,50,9,16,3,2,3,10,3,4,6,11,2,0,11,9,2,1,0,0,9,10,22,40,10,10,3,0,2,0,2,1,2,1,5,12,4,4,2,2,448,417,365,329,31,50,3,8,12,11,142,175,66,71,24,28,21,22,15,6,31,9
29,Bordeaux,Montpellier,0,2,,,58,42,32,7,10,2,12,4,10,1,11,4,1,2,18,7,3,0,0,2,6,18,20,17,4,22,3,1,3,1,0,2,0,1,14,3,18,4,0,10,425,322,341,240,32,21,7,0,12,11,163,139,50,61,15,16,17,16,9,20,8,42
29,Lorient,RC Strasbourg,0,0,,,50,50,9,13,2,4,3,6,4,3,6,5,1,2,11,18,2,2,0,0,18,11,22,22,3,3,0,3,0,3,,,,,7,8,2,5,4,2,429,424,356,350,41,32,6,5,11,7,127,131,65,55,14,14,22,24,9,16,28,10
29,Stade Rennais,Metz,6,1,,,64,36,21,2,8,1,11,0,2,1,10,1,2,2,13,11,1,2,0,0,11,11,17,20,2,11,6,1,2,0,,,,,14,1,7,1,0,2,530,300,470,230,36,18,6,0,11,8,107,118,46,39,11,6,13,14,4,6,7,14
29,Stade de Reims,Olympique Lyonnais,0,0,,,36,64,5,10,2,2,3,5,0,3,7,3,3,0,12,13,0,3,0,0,12,11,24,20,5,6,1,3,1,3,,,,,3,7,2,3,2,2,333,638,247,552,23,42,7,4,12,12,151,137,53,52,11,16,18,13,14,5,12,29
29,Olympique de Marseille,Nice,2,1,,,57,43,13,9,6,3,6,4,1,2,3,2,2,3,12,11,2,2,0,0,11,12,23,21,7,7,2,3,1,2,2,0,1,0,7,6,6,3,2,4,537,405,456,328,33,27,3,6,3,9,129,125,33,49,11,10,8,18,7,14,12,16
30,Nice,Stade Rennais,1,1,,,39,61,10,13,3,4,6,4,1,5,7,11,0,1,12,12,2,1,0,0,11,12,16,24,8,8,1,2,0,2,,,,,8,9,2,4,2,2,340,535,276,455,24,39,4,7,2,2,124,132,42,44,17,12,12,18,15,9,28,21
30,Lille,Bordeaux,0,0,,,66,34,22,2,6,0,12,0,4,2,7,2,7,0,13,15,2,4,0,1,14,13,31,24,4,14,4,0,4,0,0,1,0,1,14,1,8,1,0,6,478,252,382,155,25,28,3,0,10,5,163,144,54,51,18,16,12,17,10,11,7,30
30,RC Strasbourg,RC Lens,1,0,,,49,51,13,13,3,2,5,11,5,0,2,6,0,1,8,10,3,1,0,0,8,8,19,15,11,6,4,2,3,2,1,0,1,0,7,7,6,6,2,2,462,483,381,405,41,14,4,3,7,6,128,124,45,38,16,7,14,17,7,10,14,14
30,Clermont Foot,Nantes,2,3,,,55,45,11,9,4,4,4,5,3,0,5,6,3,3,10,10,5,1,1,0,10,8,22,17,6,8,1,3,0,1,0,1,0,1,5,8,6,1,1,2,479,388,384,291,17,31,3,6,6,3,158,150,47,52,14,17,17,24,7,14,14,15
30,Metz,AS Monaco,1,2,,,43,57,17,14,4,4,7,6,6,4,3,6,2,4,6,9,,,0,0,8,6,17,14,8,10,0,5,0,3,,,,,9,10,8,4,2,4,422,569,350,490,28,41,9,6,9,10,125,142,51,54,10,18,24,20,26,11,22,6
30,Montpellier,Stade Brestois,1,2,,,60,40,9,12,3,8,5,3,1,1,7,5,1,1,16,14,2,4,0,0,14,14,25,23,3,13,2,1,1,0,,,,,6,6,3,6,6,1,480,327,387,239,23,24,6,7,6,3,152,138,46,58,13,24,13,18,6,14,18,22
30,Saint-Étienne,Olympique de Marseille,2,4,,,30,70,5,15,2,9,2,3,1,3,2,9,2,0,14,12,2,1,0,0,12,14,13,23,7,4,0,6,0,3,0,2,0,1,3,11,2,4,6,0,253,619,197,550,18,32,3,6,7,4,96,116,44,44,8,13,17,13,8,13,21,6
30,Troyes,Stade de Reims,1,0,,,57,43,19,10,5,4,11,4,3,2,6,3,1,2,15,11,1,4,0,1,11,13,27,10,6,9,1,0,,,,,,,9,7,10,3,4,4,479,374,405,299,35,24,12,2,9,9,134,119,48,47,15,11,13,15,10,11,10,30
30,Olympique Lyonnais,Angers,3,2,,,62,38,15,7,5,4,6,2,4,1,9,2,1,4,4,13,1,1,0,0,13,4,15,18,1,8,3,3,2,1,,,,,10,5,5,2,2,2,674,411,598,333,41,28,3,2,19,11,134,130,59,40,10,8,17,17,18,12,10,27
