round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bordeaux,Nantes,0,0,,,44,56,5,6,1,1,4,3,0,2,2,3,0,3,10,15,2,3,1,0,15,10,25,19,4,7,1,0,1,0,,,,,1,0,4,6,1,1,482,618,401,551,41,21,2,1,9,5,119,116,56,43,19,15,14,13,9,10,28,15
1,Dijon,Angers,0,1,,,54,46,9,12,1,4,5,5,3,3,3,9,2,1,15,8,,,0,0,6,15,26,19,9,5,1,4,1,3,,,,,5,9,4,3,3,1,530,438,471,382,23,31,0,7,11,8,120,113,50,40,21,7,13,11,5,10,21,25
1,Lille,Stade Rennais,1,1,,,51,49,5,16,1,2,4,9,0,5,4,2,,,12,16,0,1,1,1,15,12,32,20,9,6,1,2,0,1,,,,,1,9,4,7,1,0,501,480,421,407,25,28,1,4,3,11,127,117,45,50,14,16,16,13,9,11,9,14
1,AS Monaco,Stade de Reims,2,2,,,76,24,22,9,5,3,12,4,5,2,8,1,,,8,14,1,3,0,0,14,8,17,17,9,18,4,4,2,3,0,2,0,2,16,7,6,2,1,3,735,235,665,162,33,26,13,3,6,15,132,114,63,59,20,12,23,24,11,11,4,23
1,Lorient,RC Strasbourg,3,1,,,50,50,10,7,7,1,2,3,1,3,6,1,1,2,17,10,3,2,0,0,10,16,25,26,6,4,6,0,3,0,1,2,1,1,9,1,1,6,0,4,400,419,329,330,21,35,5,0,7,7,128,129,41,62,6,19,18,20,15,9,9,14
1,Nîmes Olympique,Stade Brestois,4,0,,,45,55,12,10,5,3,5,5,2,2,4,4,0,3,14,17,2,3,0,1,16,12,22,31,7,9,3,0,2,0,,,,,10,6,2,4,3,1,333,418,246,321,33,32,7,4,5,14,137,151,54,62,15,19,18,18,14,8,16,10
1,Nice,RC Lens,2,1,,,58,42,4,16,2,4,0,9,2,3,1,7,0,1,17,18,2,3,0,0,16,16,16,26,8,3,0,4,0,3,0,1,0,1,2,12,2,4,4,0,515,353,441,292,27,36,0,11,8,11,111,114,45,47,10,14,12,6,11,18,17,6
1,Montpellier,Olympique Lyonnais,2,1,,,44,56,10,19,3,7,4,6,3,6,4,11,2,0,13,13,3,2,1,1,12,11,13,21,6,9,2,3,1,2,1,0,1,0,7,12,3,7,6,1,391,488,316,414,24,29,6,8,4,24,127,127,47,70,21,19,12,17,9,7,17,12
1,Paris Saint-Germain,Metz,1,0,,,72,28,20,7,8,1,10,3,2,3,8,2,1,3,8,6,3,2,1,0,6,8,25,18,4,18,4,2,3,2,0,1,0,1,12,4,8,3,1,7,638,254,556,172,29,24,7,2,8,13,135,127,41,54,15,17,12,16,9,13,9,29
1,Olympique de Marseille,Saint-Étienne,0,2,,,60,40,13,12,2,5,8,2,3,5,7,6,3,4,13,15,2,2,0,0,15,12,28,25,4,11,6,2,6,2,1,2,1,1,10,8,3,4,3,2,519,344,427,267,29,24,5,5,9,5,157,143,50,52,10,15,16,20,14,15,17,22
2,Olympique Lyonnais,Dijon,4,1,,,64,36,27,6,12,2,10,1,5,3,13,2,0,4,12,7,3,3,0,0,5,12,21,20,3,17,5,0,2,0,,,,,22,2,5,4,1,9,538,311,482,238,40,24,5,0,17,10,135,124,59,51,24,6,13,23,13,18,3,33
2,Stade Rennais,Montpellier,2,1,,,67,33,16,10,7,3,8,6,1,1,2,1,1,1,18,16,3,2,1,1,16,18,17,28,13,7,3,0,3,0,1,0,1,0,7,6,9,4,2,6,611,293,523,212,29,34,3,6,12,9,130,129,66,62,19,19,21,17,8,13,12,12
2,RC Strasbourg,Nice,0,2,,,44,56,6,3,0,2,6,1,0,0,3,1,1,1,14,11,2,6,0,0,10,12,30,11,8,12,0,2,,,,,,,3,3,3,0,,,441,573,360,495,49,31,2,2,4,13,140,111,34,60,10,16,10,19,12,11,8,11
2,Stade de Reims,Lille,0,1,,,50,50,4,10,0,3,4,6,0,1,1,2,2,2,20,11,4,1,0,0,11,19,18,21,6,8,1,1,1,1,,,,,1,4,3,6,2,0,535,532,449,434,32,28,2,4,8,6,144,145,55,70,14,28,22,18,17,8,4,11
2,Angers,Bordeaux,0,2,,,57,43,12,7,2,7,4,0,6,0,5,7,1,1,12,19,1,3,0,0,19,12,19,20,1,8,0,5,0,3,0,1,0,1,6,7,6,0,5,2,538,410,460,333,31,22,4,3,19,8,152,132,72,63,14,13,20,30,16,22,15,25
2,Metz,AS Monaco,0,1,,,55,45,14,3,4,2,8,1,2,0,10,1,0,4,14,20,0,5,0,1,20,13,22,21,4,11,1,0,1,0,,,,,7,2,7,1,1,4,471,404,379,302,36,19,7,0,12,7,168,153,71,68,19,22,21,26,11,11,10,25
2,Nantes,Nîmes Olympique,2,1,,,34,66,8,18,4,9,3,5,1,4,4,8,2,1,17,9,3,2,2,0,9,16,12,37,8,2,4,0,2,0,1,0,1,0,7,14,1,4,8,2,275,532,174,429,20,36,3,8,2,7,139,172,56,49,22,15,26,11,13,10,30,9
2,Saint-Étienne,Lorient,2,0,,,52,48,13,6,5,1,4,2,4,3,2,5,0,1,14,23,2,1,0,0,23,12,36,30,5,7,3,0,2,0,2,0,1,0,10,4,3,2,1,3,431,378,357,295,30,17,4,4,18,13,129,151,75,56,6,14,29,19,10,12,15,11
2,Stade Brestois,Olympique de Marseille,2,3,,,59,41,19,7,4,4,13,2,2,1,10,2,3,2,17,13,2,4,0,0,12,15,38,22,4,14,3,2,2,1,,,,,16,6,3,1,1,2,490,355,398,260,33,26,13,4,10,9,161,153,56,51,14,15,21,12,9,15,9,27
2,RC Lens,Paris Saint-Germain,1,0,,,22,78,7,8,3,1,3,5,1,2,4,2,3,3,21,10,2,2,0,0,8,20,13,19,9,2,4,0,3,0,,,,,6,2,1,6,1,2,236,896,164,813,19,18,3,0,11,15,114,138,55,58,13,6,24,17,23,5,21,11
3,Bordeaux,Olympique Lyonnais,0,0,,,45,55,5,20,0,3,4,11,1,6,4,5,,,12,19,2,3,0,0,17,12,32,23,15,7,0,1,0,1,,,,,2,9,3,11,3,0,369,456,288,372,24,30,2,7,7,7,142,126,45,50,13,8,11,23,14,14,23,17
3,Montpellier,Nice,3,1,,,37,63,20,9,13,1,3,4,4,4,8,9,1,0,18,16,0,2,0,0,16,17,23,12,5,8,2,0,1,0,,,,,13,6,7,3,0,10,280,483,213,416,38,28,7,5,9,8,113,118,57,54,20,20,13,10,8,13,20,14
3,Saint-Étienne,RC Strasbourg,2,0,,,48,52,9,14,4,7,4,4,1,3,6,3,3,0,13,19,1,3,0,0,17,13,35,34,5,8,2,2,0,2,,,,,6,8,3,6,6,2,347,381,265,283,18,29,4,3,5,9,145,142,61,57,22,22,18,13,12,8,18,18
3,Lille,Metz,1,0,,,62,38,16,5,6,1,6,3,4,1,8,3,1,2,12,14,4,4,0,0,13,11,21,17,6,7,2,1,2,1,,,,,7,5,9,0,1,5,558,336,464,249,23,32,4,6,14,9,164,149,74,69,25,26,22,23,15,19,12,29
3,Angers,Stade de Reims,1,0,,,58,42,20,7,7,2,10,5,3,0,1,2,2,0,12,12,4,2,1,1,12,12,20,17,9,15,2,0,1,0,,,,,8,4,12,3,2,6,544,401,478,325,30,20,3,1,9,7,121,110,43,50,15,17,8,15,6,14,13,18
3,Dijon,Stade Brestois,0,2,,,50,50,7,19,3,5,2,10,2,4,5,7,1,2,16,16,2,0,1,0,15,14,27,20,15,6,0,3,0,2,,,,,3,10,4,9,3,3,433,438,363,368,16,37,2,9,6,14,132,119,49,69,13,19,16,24,9,14,15,19
3,Lorient,RC Lens,2,3,,,46,54,6,12,3,6,2,5,1,1,4,2,,,20,16,4,3,0,1,16,20,32,24,8,4,1,4,0,2,,,,,3,7,3,5,3,1,354,407,256,324,25,38,0,4,10,13,141,148,66,69,17,21,24,15,7,12,17,15
3,Nîmes Olympique,Stade Rennais,2,4,,,45,55,17,10,9,6,5,3,3,1,8,4,1,0,17,13,2,6,0,0,13,16,14,18,4,11,1,5,1,2,0,4,0,3,11,6,6,4,2,7,354,444,281,352,36,32,8,5,6,10,119,141,59,53,22,14,18,13,12,4,8,15
3,AS Monaco,Nantes,2,1,,,58,42,18,7,5,2,10,4,3,1,9,4,3,1,14,11,3,1,0,0,11,14,14,16,12,12,4,2,3,1,2,1,2,1,16,3,2,4,1,3,582,420,497,336,38,17,6,4,11,9,132,141,66,48,17,9,27,16,10,7,16,26
3,Paris Saint-Germain,Olympique de Marseille,0,1,,,66,34,14,5,4,2,6,1,4,2,4,2,4,3,17,19,6,8,3,2,19,15,24,23,3,15,4,1,4,0,,,,,9,3,5,2,1,4,529,279,463,206,22,33,8,2,14,8,130,131,64,58,12,16,19,19,5,11,6,26
