round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nice,Lille,1,1,1.17,1.33,40,60,8,12,3,5,3,3,2,4,3,3,5,1,13,9,3,2,0,0,8,11,14,19,4,6,2,2,1,1,2,0,1,0,5,8,3,4,4,2,383,582,323,513,17,22,3,5,23,14,117,115,55,57,8,6,16,26,7,8,17,4
1,Olympique de Marseille,Stade de Reims,2,1,1.04,0.77,42,58,14,11,4,4,6,4,4,3,10,10,3,4,7,16,1,3,0,0,15,7,17,26,8,8,3,2,2,2,0,1,0,1,8,7,6,4,3,2,309,426,238,349,20,30,6,6,10,8,128,136,54,47,15,16,15,16,16,9,27,18
1,Paris Saint-Germain,Lorient,0,0,1.24,0.12,78,22,20,4,4,0,8,3,8,1,9,2,,,8,6,,,0,0,5,8,16,6,3,13,1,0,1,0,0,1,0,1,11,1,9,3,0,4,1001,286,939,218,17,14,9,0,9,3,117,101,33,36,9,12,10,13,8,15,6,31
1,Stade Brestois,RC Lens,3,2,2.55,0.71,48,52,15,8,8,2,4,3,3,3,6,8,0,4,13,15,2,4,0,0,15,13,21,21,7,7,4,1,2,0,1,1,1,1,9,5,6,3,0,5,359,395,289,301,32,24,6,5,10,9,145,154,59,63,15,19,19,22,8,5,21,19
1,Clermont Foot,AS Monaco,2,4,1.75,2.46,55,45,15,14,7,8,7,2,1,4,6,2,3,1,7,16,0,4,0,0,14,6,16,9,4,8,4,4,3,0,2,0,1,0,9,10,6,4,4,5,538,455,460,365,22,19,6,2,5,5,143,130,47,45,12,10,16,24,15,19,12,14
1,Montpellier,Le Havre,2,2,1.62,1.1,58,42,14,12,5,4,5,7,4,1,4,2,5,0,8,12,1,2,0,0,11,8,19,21,13,10,2,2,1,1,4,1,3,1,11,6,3,6,2,3,491,357,404,265,33,21,4,2,8,9,153,145,54,46,18,17,17,12,7,9,15,19
1,Nantes,Toulouse,1,2,1.06,1.22,44,56,9,9,4,5,3,2,2,2,7,5,2,2,14,14,2,2,0,0,14,14,17,26,5,5,1,5,0,3,,,,,7,7,2,2,3,3,434,578,366,489,20,25,6,2,8,5,121,130,40,50,9,20,10,12,12,3,15,13
1,Stade Rennais,Metz,5,1,4.08,0.45,70,30,29,9,14,3,7,2,8,4,5,4,1,4,7,10,0,2,0,0,10,6,16,16,3,8,5,1,2,1,2,0,2,0,23,6,6,3,3,9,707,286,650,233,21,28,7,7,19,7,107,105,55,39,8,9,18,17,7,11,11,17
1,RC Strasbourg,Olympique Lyonnais,2,1,1.28,1.77,36,64,8,23,2,7,3,8,3,8,1,6,3,2,8,11,2,2,0,0,10,8,16,27,14,8,1,3,0,2,2,0,2,0,5,15,3,8,6,0,312,577,234,508,24,34,1,6,14,13,126,123,55,54,7,17,24,16,13,9,19,13
2,Metz,Olympique de Marseille,2,2,0.48,1.94,43,57,10,22,5,5,3,12,2,5,4,9,0,2,15,9,3,2,1,0,9,15,22,18,17,8,0,1,0,1,1,1,1,1,4,15,6,7,3,3,361,477,278,403,19,19,4,11,7,8,132,129,35,52,5,18,14,11,12,7,31,22
2,Olympique Lyonnais,Montpellier,1,4,0.36,2.92,64,36,7,14,3,8,3,4,1,2,6,2,2,4,20,9,4,1,1,0,8,20,12,13,5,8,1,6,1,2,0,5,0,3,3,7,4,7,4,2,533,299,459,239,20,24,1,1,16,10,127,109,51,53,7,5,20,18,5,9,6,16
2,Toulouse,Paris Saint-Germain,1,1,1.22,2.16,24,76,8,16,2,3,4,6,2,7,5,5,1,3,8,11,0,3,0,0,11,7,13,15,7,6,1,2,0,1,2,2,2,2,5,14,3,2,2,1,232,767,169,698,18,28,3,4,5,11,107,113,37,39,8,7,14,14,11,6,14,6
2,Lille,Nantes,2,0,2.37,1.08,65,35,18,14,8,4,4,2,6,8,7,5,0,5,8,15,0,2,1,0,15,8,16,13,4,13,5,2,4,2,2,0,2,0,10,5,8,9,4,5,548,293,482,236,14,16,3,2,10,7,113,105,44,38,8,9,11,15,6,6,16,22
2,Le Havre,Stade Brestois,1,2,1.25,1.09,56,44,18,10,7,5,6,3,5,2,5,3,4,2,18,15,0,2,0,0,15,18,21,23,5,11,0,3,0,2,0,2,0,2,12,7,6,3,3,6,462,355,362,259,22,32,5,4,20,6,158,147,77,68,29,21,15,23,6,10,13,17
2,Lorient,Nice,1,1,0.85,1.75,40,60,9,21,2,8,3,7,4,6,0,9,3,1,8,10,1,1,0,0,10,7,12,8,8,3,1,3,0,2,,,,,5,12,4,9,7,1,459,673,400,626,15,24,2,5,9,9,94,102,50,42,10,11,21,15,7,9,24,2
2,Stade de Reims,Clermont Foot,2,0,2.36,0.43,46,54,8,11,4,4,2,6,2,1,3,10,5,2,9,6,,,0,0,6,9,16,20,10,6,4,0,2,0,4,0,3,0,7,7,1,4,4,2,419,472,327,384,34,28,3,5,8,14,154,158,38,61,8,12,16,26,11,12,22,11
2,AS Monaco,RC Strasbourg,3,0,1.04,0.5,56,44,9,4,4,1,4,2,1,1,4,3,3,2,19,16,2,1,0,0,15,19,18,14,3,7,2,0,1,0,2,0,1,0,4,3,5,1,1,1,570,438,469,358,31,26,4,3,14,18,141,133,60,60,9,12,22,12,9,13,12,16
2,RC Lens,Stade Rennais,1,1,0.98,1.42,50,50,15,10,4,5,9,4,2,1,11,0,1,1,15,10,2,1,0,0,10,15,19,20,4,9,2,2,2,1,0,1,0,1,8,6,7,4,4,3,478,503,403,418,23,22,10,0,3,5,129,120,41,46,14,13,15,14,3,9,5,23
3,Nantes,AS Monaco,3,3,1.03,3.32,34,66,3,27,3,10,0,11,0,6,1,10,2,2,8,7,2,2,0,0,7,6,11,20,16,3,1,8,0,5,,,,,3,17,0,10,6,0,364,698,282,605,33,25,1,5,6,6,130,154,42,35,11,6,19,17,11,10,26,6
3,Olympique de Marseille,Stade Brestois,2,0,2.97,1.53,44,56,15,18,6,7,5,5,4,6,3,10,2,1,4,8,0,1,0,0,8,4,13,18,12,7,6,3,4,3,5,2,5,2,15,12,0,6,7,4,412,507,347,436,26,42,4,9,9,7,112,136,49,44,11,17,21,17,9,11,28,13
3,Paris Saint-Germain,RC Lens,3,1,1.54,0.47,66,34,17,12,7,4,6,7,4,1,5,5,1,2,8,16,0,5,0,0,16,8,13,15,8,6,3,0,3,0,1,0,1,0,11,7,6,5,3,3,733,358,675,289,22,12,2,4,15,6,111,122,49,50,4,7,15,29,4,8,11,7
3,Stade Rennais,Le Havre,2,2,3.22,0.4,61,39,22,7,8,3,9,4,5,0,5,2,2,3,5,7,1,2,0,1,7,5,21,18,3,8,5,0,4,0,,,,,16,4,6,3,1,5,679,439,605,357,28,17,8,4,18,2,133,123,57,47,14,12,18,28,14,19,12,17
3,Clermont Foot,Metz,0,1,0.67,1.08,72,28,16,10,4,5,7,4,5,1,10,2,1,2,8,10,1,1,0,0,10,7,18,27,8,12,0,1,,,,,,,9,7,7,3,4,5,653,254,567,187,27,26,7,0,4,14,140,132,55,45,14,9,27,15,10,17,11,27
3,Montpellier,Stade de Reims,1,3,0.95,1.39,51,49,20,12,3,6,10,4,7,2,5,3,0,2,9,19,1,1,0,0,18,8,32,20,9,12,2,3,2,2,1,0,1,0,14,5,6,7,3,2,370,354,265,252,20,19,5,4,15,14,170,158,63,68,17,20,14,26,9,18,25,24
3,RC Strasbourg,Toulouse,2,0,3.39,0.34,39,61,11,7,3,1,6,3,2,3,3,3,0,2,16,17,1,3,0,0,16,15,20,21,7,9,5,0,3,0,3,0,2,0,8,5,3,2,1,1,353,576,291,478,27,29,6,4,9,12,115,148,53,62,12,15,16,20,10,7,13,16
3,Lorient,Lille,4,1,1.58,1.15,36,64,9,18,6,7,3,5,0,6,5,8,2,0,23,12,2,4,0,0,12,22,13,21,11,4,4,2,2,1,2,0,1,0,7,8,2,10,6,2,322,578,255,505,28,15,2,7,7,12,108,135,53,63,13,12,21,17,13,2,21,11
3,Nice,Olympique Lyonnais,0,0,1.95,0.2,59,41,21,6,4,1,10,4,7,1,7,2,7,1,8,14,1,3,0,0,14,7,11,12,5,11,2,0,2,0,1,0,1,0,10,3,11,3,1,4,513,374,440,291,13,18,7,2,23,11,132,121,67,43,13,9,17,16,8,6,7,29
4,Nantes,Olympique de Marseille,1,1,0.94,2.57,37,63,10,26,2,9,2,12,6,5,2,7,2,0,7,13,0,2,1,0,13,7,17,18,18,2,0,3,0,3,,,,,8,16,2,10,8,2,348,602,281,531,21,23,6,7,6,11,109,127,44,43,11,16,16,9,11,10,35,8
4,Stade Brestois,Stade Rennais,0,0,1.36,0.29,48,52,13,6,2,3,6,1,5,2,7,5,0,2,12,12,3,1,0,0,11,12,20,18,4,10,2,0,2,0,,,,,8,3,5,3,3,2,417,455,334,376,34,13,5,1,8,11,138,132,48,45,15,9,14,13,3,8,21,24
