number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
25,Werder Bremen,1. FC Nürnberg,1,1,56,44,14,11,2,2,7,6,5,3,4,7,0,2,17,6,2,0,0,0,5,17,,,13,7,,,,,,,0,1,,,8,8,6,3,1,1,531,401,452,323,38,29,4,5,6,5,,,37,55,17,15,9,18,11,15,,
24,Borussia M'gladbach,FC Schalke 04,2,1,50,50,15,16,4,6,6,5,5,5,6,6,1,4,5,13,0,4,0,0,13,5,,,9,8,2,1,2,1,1,0,1,1,,,7,9,8,7,5,2,443,428,337,321,29,31,3,8,6,6,,,53,61,15,31,19,19,18,12,,
21,Fortuna Düsseldorf,1899 Hoffenheim,2,1,32,68,8,19,4,5,2,9,2,5,0,9,2,1,11,21,1,2,0,0,20,11,,,15,3,3,2,2,2,1,1,0,2,,,5,11,3,8,4,2,257,528,169,448,22,32,4,5,2,9,,,57,51,25,24,14,7,12,2,,
37,Bayern München,Augsburg,1,1,64,36,15,12,8,4,6,7,1,1,8,4,3,4,6,16,3,2,0,0,16,6,,,8,8,2,1,1,0,1,1,2,0,,,11,6,4,6,3,7,587,318,483,210,38,33,5,1,10,5,,,64,47,30,20,8,17,13,14,,
1,Fortuna Düsseldorf,Augsburg,1,2,51,49,8,14,5,7,2,4,1,3,7,5,1,3,12,11,1,0,0,0,10,11,,,8,8,2,0,1,0,,,,,,,4,9,4,5,4,4,447,422,348,322,29,26,5,7,4,8,,,66,63,25,29,27,15,11,14,,
5,Wolfsburg,FC Schalke 04,2,1,59,41,10,9,7,4,3,2,0,3,7,2,2,2,15,12,5,3,0,1,11,15,,,9,9,4,2,2,1,,,0,1,,,4,7,6,2,3,5,428,298,325,194,43,26,2,4,9,9,,,48,56,10,20,18,13,18,14,,
14,1899 Hoffenheim,Freiburg,3,1,58,42,22,11,8,4,9,5,5,2,6,4,3,2,13,14,1,2,0,0,13,11,,,3,8,6,3,3,2,0,1,2,1,,,14,4,8,7,3,5,458,321,374,222,35,23,9,5,7,5,,,50,51,22,15,9,20,10,12,,
19,1. FSV Mainz 05,Augsburg,2,1,53,47,21,14,7,4,11,8,3,2,5,4,1,4,9,18,1,2,0,0,16,9,,,7,10,4,0,4,0,,,1,0,,,15,13,6,1,3,4,405,362,315,264,44,33,12,6,9,0,,,78,51,28,22,26,20,10,6,,
7,1. FSV Mainz 05,VfB Stuttgart,1,0,47,53,10,12,3,3,5,6,2,3,6,3,3,1,16,7,1,2,0,0,6,15,,,9,7,2,1,1,1,,,1,0,,,7,8,3,4,3,2,403,453,301,344,38,19,4,4,7,4,,,53,55,26,20,14,19,17,14,,
8,Borussia Dortmund,RB Leipzig,4,1,46,54,10,11,5,7,2,3,3,1,7,9,4,4,9,11,2,2,0,0,11,8,,,18,5,5,3,3,2,,,2,0,,,8,8,2,3,6,2,383,437,295,349,25,21,5,4,8,9,,,43,62,11,23,13,22,19,12,,
