number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
0,Universidad de Concepción,Unión Española,1,0,43,57,7,6,1,2,5,2,1,2,4,3,1,1,12,22,2,3,0,0,20,11,,,8,7,,,,,1,0,,,,,1,2,7,4,2,1,359,472,242,359,,,,,,,,,74,67,24,34,,,,,,
1,Unión La Calera,Santiago Wanderers,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Unión Española,Universidad de Concepción,1,2,59,41,11,14,4,6,4,5,3,3,6,5,3,2,17,15,4,3,0,0,12,17,,,9,9,,,,,1,1,,,,,5,7,7,7,4,4,435,311,327,198,,,,,,,,,46,54,21,16,,,,,,
3,Santiago Wanderers,Unión La Calera,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Deportes Temuco,Universidad de Concepción,1,1,49,51,20,15,6,4,8,10,6,1,3,1,3,1,16,25,3,3,0,0,24,16,,,8,12,,,,,1,0,,,,,15,6,5,9,3,5,355,385,261,287,,,,,,,,,69,58,21,20,,,,,,
5,Huachipato,Colo-Colo,0,3,46,54,3,26,1,12,2,7,0,7,4,7,1,0,27,17,1,1,0,0,16,24,,,10,7,,,,,2,0,,,,,1,15,2,11,9,1,316,365,228,269,,,,,,,,,61,80,11,19,,,,,,
6,Unión Española,Everton de Viña del Mar,2,0,40,60,12,6,4,3,6,3,2,0,6,2,2,3,13,11,2,3,0,0,11,11,,,11,15,,,,,,,,,,,6,1,6,5,3,2,323,475,246,390,,,,,,,,,38,37,8,6,,,,,,
7,Universidad de Chile,Deportes Iquique,1,0,68,32,11,5,4,2,2,3,5,0,8,1,1,1,14,16,2,3,0,1,16,13,,,8,8,,,,,,,,,,,8,2,3,3,2,3,453,216,387,131,,,,,,,,,52,46,19,10,,,,,,
8,San Luis de Quillota,Audax Italiano,1,1,62,38,9,13,5,4,2,6,2,3,5,6,3,0,21,24,3,4,0,0,23,20,,,7,5,,,,,0,1,,,,,6,8,3,5,2,4,414,256,311,149,,,,,,,,,59,55,21,28,,,,,,
9,Antofagasta,Universidad Católica,2,4,44,56,17,16,8,8,4,4,5,4,5,6,3,2,17,14,1,6,0,0,14,16,,,2,11,,,,,0,1,,,,,7,13,10,3,4,6,334,419,241,316,,,,,,,,,88,74,27,19,,,,,,
