number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
8,Fluminense,Goiás,0,1,71,29,15,8,3,2,8,6,4,0,5,5,1,0,14,9,4,1,0,0,8,13,,,7,7,2,1,2,1,,,,,,,11,4,4,4,1,3,598,235,540,165,18,24,6,5,15,5,,,49,48,15,14,11,16,3,9,,
4,Grêmio,Santos,1,2,64,36,26,8,11,5,9,3,6,0,12,2,2,1,12,18,3,4,0,1,17,12,,,4,10,4,1,3,1,1,0,0,1,,,12,4,14,4,3,10,607,335,503,238,28,14,9,4,14,8,,,71,43,18,11,23,12,14,21,,
2,Chapecoense,Internacional,2,0,43,57,12,20,7,7,4,8,1,5,3,5,0,2,15,11,1,1,0,0,8,13,,,14,5,2,1,1,1,,,,,,,5,9,7,11,7,5,392,511,302,414,24,34,5,8,6,10,,,51,65,19,23,18,21,15,9,,
6,Bahia,Corinthians,3,2,43,57,15,9,6,3,8,3,1,3,4,4,1,0,17,5,1,4,0,0,3,17,,,4,10,2,0,,,1,0,1,0,,,9,5,6,4,1,3,351,474,264,372,23,32,5,5,12,11,,,70,68,34,23,21,18,12,11,,
15,Fortaleza,Athletico Paranaense,2,1,36,64,18,10,5,4,8,5,5,1,2,7,1,0,12,19,3,3,0,0,19,11,,,15,7,1,0,,,0,2,,,,,7,3,11,7,3,3,291,507,234,454,22,23,3,4,7,10,,,57,39,20,12,13,6,12,6,,
11,CSA,Palmeiras,1,1,0,100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,0,1,0,1,,,,,,,,,,,,,,,,,,
0,São Paulo,Botafogo,2,0,28,72,7,11,4,2,1,2,2,7,3,2,2,1,23,7,0,4,0,0,7,20,,,4,6,2,1,1,1,,,1,0,,,2,2,5,9,2,2,269,702,204,628,9,32,2,1,12,4,,,38,49,7,7,12,18,5,5,,
12,Internacional,Flamengo,2,1,45,55,17,11,7,5,6,2,4,4,4,5,1,3,8,9,3,2,0,0,8,8,,,6,8,1,1,1,1,1,0,,,,,8,6,9,5,4,5,431,513,351,416,27,26,4,2,15,7,,,56,57,18,19,18,25,11,13,,
1,Atlético Mineiro,Avaí,2,1,60,40,11,6,3,1,8,4,0,1,4,4,0,1,12,18,0,1,0,0,17,11,,,7,11,4,1,2,0,1,1,,,,,7,2,4,4,0,1,549,362,474,286,23,23,4,3,12,7,,,67,41,22,9,16,14,14,18,,
7,Ceará SC,CSA,4,0,54,46,16,6,8,1,5,5,3,0,3,6,2,1,15,4,,,0,1,4,13,,,8,10,2,1,0,1,,,4,0,,,10,3,6,3,1,3,497,416,434,340,23,32,5,2,5,15,,,35,59,14,21,12,12,6,4,,
10,Corinthians,Chapecoense,1,0,51,49,12,10,4,1,2,5,6,4,7,2,1,1,14,10,2,1,0,0,10,14,,,10,9,1,0,,,1,0,,,,,4,3,8,7,1,3,424,403,347,315,27,29,3,1,13,7,,,72,74,23,31,27,22,7,10,,
14,Cruzeiro,Ceará SC,1,0,58,42,11,14,4,4,4,4,3,6,2,3,1,2,10,12,1,0,0,0,11,9,,,5,11,2,2,1,2,1,1,,,,,7,7,4,7,4,3,614,426,541,348,26,19,3,3,8,8,,,45,54,14,20,13,17,12,6,,
5,Athletico Paranaense,Vasco da Gama,4,1,56,44,20,14,11,5,6,7,3,2,4,0,2,1,15,19,1,1,0,0,18,15,,,7,8,6,1,3,1,1,0,1,2,,,11,7,9,7,4,8,510,389,447,333,32,22,3,6,4,9,,,43,44,10,7,12,15,12,8,,
3,Flamengo,Cruzeiro,3,1,58,42,17,2,5,1,4,0,8,1,6,2,0,1,13,17,4,6,0,1,16,12,,,1,5,3,1,1,0,,,,,,,13,1,4,1,0,2,526,396,450,315,15,14,7,0,7,7,,,58,46,21,19,14,11,17,15,,
13,Avaí,Grêmio,1,1,43,57,13,4,3,2,8,1,2,1,11,4,,,15,17,4,3,0,0,15,14,,,7,10,1,1,1,0,,,,,,,7,2,6,2,1,3,375,504,274,399,17,24,7,1,12,11,,,74,66,25,17,23,24,18,15,,
9,Palmeiras,Fortaleza,4,0,53,47,18,8,9,5,5,2,4,1,6,1,3,1,12,16,1,2,0,0,13,12,,,5,13,6,0,3,0,,,,,,,12,2,6,6,5,6,379,349,300,279,27,20,9,0,10,8,,,66,38,16,13,27,6,13,7,,
25,Cruzeiro,Goiás,2,1,60,40,20,13,6,4,9,6,5,3,5,4,1,1,14,10,1,3,0,1,9,14,,,10,13,2,1,,,,,,,,,9,8,11,5,3,4,519,333,453,267,30,27,5,5,10,11,,,53,50,24,14,11,12,6,17,,
18,Santos,Fluminense,2,1,42,58,22,10,10,4,11,5,1,1,6,1,1,3,25,14,3,2,0,0,13,23,,,4,13,2,2,1,1,1,0,,,,,16,5,6,5,3,8,377,517,308,441,24,14,4,2,16,19,,,52,68,6,12,17,14,10,8,,
17,Vasco da Gama,Atlético Mineiro,1,2,50,50,21,14,4,4,11,2,6,8,8,4,0,1,12,9,,,0,0,7,9,,,6,12,2,0,1,0,,,1,0,,,10,5,11,9,2,2,461,466,387,385,14,19,7,4,11,9,,,52,56,16,18,18,20,9,17,,
23,Chapecoense,Athletico Paranaense,1,1,50,50,16,17,5,6,8,7,3,4,8,3,1,2,16,17,1,3,0,0,17,14,,,12,10,3,3,2,3,,,1,0,,,9,8,7,9,5,4,384,399,328,341,50,21,11,4,8,10,,,52,45,15,7,14,14,9,7,,
24,Botafogo,Fortaleza,1,0,56,44,9,14,4,3,5,9,0,2,7,4,0,1,10,16,0,2,0,0,16,10,,,7,6,3,2,2,2,0,1,,,,,7,4,2,10,3,3,539,406,482,357,31,37,5,4,8,14,,,65,52,19,18,25,12,5,12,,
16,Goiás,São Paulo,1,2,47,53,13,14,2,5,7,7,4,2,5,10,0,1,15,12,3,2,0,1,12,15,,,7,11,2,0,1,0,,,,,,,7,8,6,6,3,1,380,433,315,376,28,21,6,2,16,21,,,53,63,13,13,13,16,9,8,,
22,Ceará SC,Atlético Mineiro,1,2,46,54,9,15,3,6,3,6,3,3,6,4,1,1,12,7,0,1,0,0,6,11,,,8,5,1,1,1,0,1,0,,,,,5,6,4,9,4,2,450,531,380,463,20,35,4,5,3,2,,,32,37,11,17,12,8,10,10,,
21,Vasco da Gama,Corinthians,1,1,46,54,13,11,4,2,5,7,4,2,8,2,,,21,8,2,1,0,0,8,20,,,8,7,3,2,2,1,,,,,,,9,6,4,5,1,3,342,411,276,347,15,24,8,4,10,11,,,41,61,9,20,14,11,11,11,,
